"当前等级","下级经验"
"0","20"
"1","70"
"2","220"
"3","470"
"4","820"
"5","1270"
"6","1820"
"7","2470"
"8","3220"
"9","4070"
"10","5020"
"11","6070"
"12","7220"
"13","8470"
"14","9820"
"15","11270"
"16","12820"
"17","14470"
"18","16220"
"19","18070"
"20","20020"
"21","22070"
"22","24220"
"23","26470"
"24","28820"
"25","31270"
"26","33820"
"27","36470"
"28","39220"
"29","42070"
"30","45020"
"31","48070"
"32","51220"
"33","54470"
"34","57820"
"35","61270"
"36","64820"
"37","68470"
"38","72220"
"39","76070"
"40","80020"
"41","84070"
"42","88220"
"43","92470"
"44","96820"
"45","101270"
"46","105820"
"47","110470"
"48","115220"
"49","120070"
"50","125020"
"51","130070"
"52","135220"
"53","140470"
"54","145820"
"55","151270"
"56","156820"
"57","162470"
"58","168220"
"59","174070"
"60","180020"
"61","186070"
"62","192220"
"63","198470"
"64","204820"
"65","211270"
"66","217820"
"67","224470"
"68","231220"
"69","238070"
"70","245020"
"71","252070"
"72","259220"
"73","266470"
"74","273820"
"75","281270"
"76","288820"
"77","296470"
"78","304220"
"79","312070"
"80","320020"
"81","328070"
"82","336220"
"83","344470"
"84","352820"
"85","361270"
"86","369820"
"87","378470"
"88","387220"
"89","396070"
"90","405020"
"91","414070"
"92","423220"
"93","432470"
"94","441820"
"95","451270"
"96","460820"
"97","470470"
"98","480220"
"99","490070"
"100","500020"
"101","510070"
"102","520220"
"103","530470"
"104","540820"
"105","551270"
"106","561820"
"107","572470"
"108","583220"
"109","594070"
"110","605020"
"111","616070"
"112","627220"
"113","638470"
"114","649820"
"115","661270"
"116","672820"
"117","684470"
"118","696220"
"119","708070"
"120","720020"
"121","732070"
"122","744220"
"123","756470"
"124","768820"
"125","781270"
"126","793820"
"127","806470"
"128","819220"
"129","832070"
"130","845020"
"131","858070"
"132","871220"
"133","884470"
"134","897820"
"135","911270"
"136","924820"
"137","938470"
"138","952220"
"139","966070"
"140","980020"
"141","994070"
"142","1008220"
"143","1022470"
"144","1036820"
"145","1051270"
"146","1065820"
"147","1080470"
"148","1095220"
"149","1110070"
"150","1125020"
"151","1500000"
"152","1500000"
"153","1500000"
"154","1500000"
"155","1500000"
"156","1500000"
"157","1500000"
"158","1500000"
"159","1500000"
"160","1500000"
