"id","进入等级","等级限制下限","名字","现在场景所用资源图（策划用）","描述","场景颜色","是否安全区","能否客户端跳转","是否副本","副本类型","副本外跳转地图","副本外跳转X坐标","副本外跳转Y坐标","是否可无视阻挡","可见关系","默认x","默认y","重定位地图","重定位x坐标","重定位y坐标","资源目录","战斗底图","宽度","高度","是否显示在世界地图上","等级限制上限","战斗区域描述","玩家所在世界地图位置左上角X坐标","玩家所在世界地图位置左上角Y坐标","音效","飞行符传送x坐标","飞行符传送y坐标","是否读取传送点文件"
"1601","0","-1","溶洞一层","哀嚎洞穴","溶洞一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1601_aihaodongxue","10","2688","1536","false","15","1","0","0","Music_aihao.mp3","53","99",
"1624","0","-1","溶洞二层","哀嚎洞穴","溶洞二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1624_aihaodongxue2","10","2688","1536","false","15","1","0","0","Music_aihao.mp3","53","99",
"1625","0","-1","溶洞三层","哀嚎洞穴","溶洞三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1625_aihaodongxue3","10","2688","1536","false","15","1","0","0","Music_aihao.mp3","53","99",
"1626","0","-1","废矿一层","血色教堂","废矿一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1626_feikuang1","10","3584","2112","false","15","1","0","0","Music_sikuang.mp3","53","99",
"1627","0","-1","废矿二层","血色教堂","废矿二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1627_feikuang2","10","3584","2112","false","15","1","0","0","Music_sikuang.mp3","53","99",
"1628","0","-1","废矿三层","血色教堂","废矿三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1628_feikuang3","10","3584","2112","false","15","1","0","0","Music_sikuang.mp3","53","99",
"1629","0","-1","银堡一层","哀嚎洞穴","银堡一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1629_yinbao1","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1630","0","-1","银堡二层","哀嚎洞穴","银堡二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1630_yinbao2","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1631","0","-1","银堡三层","哀嚎洞穴","银堡三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1631_yinbao3","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1602","0","-1","学院一层","血色教堂","学院一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1602_huangze1","10","3584","2112","true","15","1","0","0","Music_aihao.mp3","53","99",
"1632","0","-1","学院二层","血色教堂","学院二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1632_huangze2","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1633","0","-1","学院三层","血色教堂","学院三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1633_huangze3","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1634","0","-1","教堂一层","血色教堂","教堂一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1634_jiaotang1","10","2688","1920","false","15","1","0","0","Music_xuese.mp3","53","99",
"1635","0","-1","教堂二层","血色教堂","教堂二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1635_jiaotang2","10","3584","2112","false","15","1","0","0","Music_xuese.mp3","53","99",
"1636","0","-1","教堂三层","血色教堂","教堂三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1636_jiaotang3","10","3584","2112","false","15","1","0","0","Music_xuese.mp3","53","99",
"1603","0","-1","埋股圣地一层","哀嚎洞穴","埋股圣地一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1603_maigushengdi1","10","3584","2112","true","15","1","0","0","Music_aihao.mp3","53","99",
"1637","0","-1","埋股圣地二层","哀嚎洞穴","埋股圣地二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1637_maigushengdi2","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1638","0","-1","埋股圣地三层","哀嚎洞穴","埋股圣地三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1638_maigushengdi3","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1639","0","-1","遗迹一层","血色教堂","遗迹一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1639_yiji1","10","3584","2112","false","15","1","0","0","Music_xuese.mp3","53","99",
"1640","0","-1","遗迹二层","血色教堂","遗迹二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1640_yiji2","10","3584","2112","false","15","1","0","0","Music_xuese.mp3","53","99",
"1641","0","-1","遗迹三层","血色教堂","遗迹三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1641_yiji3","10","3584","2112","false","15","1","0","0","Music_xuese.mp3","53","99",
"1604","0","-1","祭坛一层","哀嚎洞穴","祭坛一层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1604_jitan1","10","3584","2112","true","15","1","0","0","Music_aihao.mp3","53","99",
"1642","0","-1","祭坛二层","哀嚎洞穴","祭坛二层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1642_jitan2","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
"1643","0","-1","祭坛三层","哀嚎洞穴","祭坛三层","FFFFFFFF","1","1","0","0","0","0","0","1","0","100","99","1615","0","0","map_1643_jitan3","10","3584","2112","false","15","1","0","0","Music_aihao.mp3","53","99",
