"道具id","伙伴id","天数期限类","是否入背包"
"332000","28100","0","1"
"332001","28100","1","1"
"332002","28100","2","1"
"332003","28101","0","1"
"332004","28101","1","1"
"332005","28101","2","1"
"332006","28102","0","1"
"332007","28102","1","1"
"332008","28102","2","1"
"332009","28103","0","1"
"332010","28103","1","1"
"332011","28103","2","1"
"332012","28104","0","1"
"332013","28104","1","1"
"332014","28104","2","1"
"332015","28105","0","1"
"332016","28105","1","1"
"332017","28105","2","1"
"332018","28106","0","1"
"332019","28106","1","1"
"332020","28106","2","1"
"332021","28107","0","1"
"332022","28107","1","1"
"332023","28107","2","1"
"332024","28108","0","1"
"332025","28108","1","1"
"332026","28108","2","1"
"332027","28109","0","1"
"332028","28109","1","1"
"332029","28109","2","1"
"332030","28110","0","1"
"332031","28110","1","1"
"332032","28110","2","1"
"332033","28111","0","1"
"332034","28111","1","1"
"332035","28111","2","1"
"332036","28112","0","1"
"332037","28112","1","1"
"332038","28112","2","1"
"332039","28113","0","1"
"332040","28113","1","1"
"332041","28113","2","1"
"332042","28114","0","1"
"332043","28114","1","1"
"332044","28114","2","1"
"332045","28115","0","1"
"332046","28115","1","1"
"332047","28115","2","1"
"332048","28116","0","1"
"332049","28116","1","1"
"332050","28116","2","1"
"332051","28117","0","1"
"332052","28117","1","1"
"332053","28117","2","1"
"332054","28118","0","1"
"332055","28118","1","1"
"332056","28118","2","1"
"332057","28119","0","1"
"332058","28119","1","1"
"332059","28119","2","1"
"332060","28120","0","1"
"332061","28120","1","1"
"332062","28120","2","1"
"332063","28121","0","1"
"332064","28121","1","1"
"332065","28121","2","1"
"332066","28122","0","1"
"332067","28122","1","1"
"332068","28122","2","1"
"332069","28123","0","1"
"332070","28123","1","1"
"332071","28123","2","1"
"332072","28124","0","1"
"332073","28124","1","1"
"332074","28124","2","1"
"332075","28125","0","1"
"332076","28125","1","1"
"332077","28125","2","1"
"332078","28126","0","1"
"332079","28126","1","1"
"332080","28126","2","1"
"332081","28127","0","1"
"332082","28127","1","1"
"332083","28127","2","1"
"332084","28128","0","1"
"332085","28128","1","1"
"332086","28128","2","1"
"332087","28129","0","1"
"332088","28129","1","1"
"332089","28129","2","1"
"332090","28130","0","1"
"332091","28130","1","1"
"332092","28130","2","1"
"332093","28131","0","1"
"332094","28131","1","1"
"332095","28131","2","1"
"332096","28132","0","1"
"332097","28132","1","1"
"332098","28132","2","1"
"332099","28133","0","1"
"332100","28133","1","1"
"332101","28133","2","1"
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
,"",,
