"编号","类名","类型名","武器前缀","类型校验备注"
"5","fire.pb.item.GemItem","宝石",,"宝石"
"33","fire.pb.item.pet.SpecialItem","宠物用品",,"宠物道具"
"49","fire.pb.item.pet.PetSkillItem","魔兽要诀",,"宠物道具"
"177","fire.pb.item.pet.PetAptItem","宠物资质培养药剂",,"宠物道具"
"193","fire.pb.item.pet.PetGrowrateItem","宠物成长培养药剂",,"宠物道具"
"209","fire.pb.item.pet.PetExpItem","宠物经验药剂",,"宠物道具"
"225","fire.pb.item.pet.PetLifeItem","宠物增加寿命道具",,"宠物道具"
"66","fire.pb.item.food.AutoRecoveryItem","便捷恢复",,"食品"
"290","fire.pb.item.food.GeneralFood","食品",,"食品"
"19","fire.pb.item.medical.Level1Item","药草",,"药品"
"35","fire.pb.item.medical.Level2Item","药草",,"药品"
"51","fire.pb.item.medical.Level3Item","药品",,"药品"
"67","fire.pb.item.medical.EasyRecoveryItem","便捷回复药品",,"药品"
"","fire.pb.item.medical.Level2Item","",,""
"275","fire.pb.item.drug.GeneralDrugStuff","一级药材",,"药品"
"291","fire.pb.item.drug.GeneralDrug","药品",,"药品"
"307","fire.pb.item.medical.Level3Item","药品",,"药品"
"323","fire.pb.item.drug.GeneralDrugStuff","二级药材",,"药品"
"70","fire.pb.item.groceries.DoubleItem","杂货",,"杂货"
"118","fire.pb.item.groceries.TreasuremapItem","藏宝图",,"杂货"
"150","fire.pb.item.groceries.OtherItem","杂货",,"杂货"
"166","fire.pb.item.groceries.Present","礼包",,"杂货"
"198","fire.pb.item.groceries.SuperTreasureMapItem","高级藏宝图",,"杂货"
"230","fire.pb.item.groceries.BaoxiangItem","宝箱",,"杂货"
"262","fire.pb.item.groceries.FormBookHalf","光环碎片",,"杂货"
"278","fire.pb.item.groceries.FormBook","光环书",,"杂货"
"294","fire.pb.item.groceries.TimeReturn","洗点道具",,"杂货"
"310","fire.pb.item.groceries.ForgeStone","武器制造材料",,"杂货"
"326","fire.pb.item.groceries.TailorDye","裁缝制造材料",,"杂货"
"342","fire.pb.item.groceries.SmeltFusion","炼金制造材料",,"杂货"
"358","fire.pb.item.groceries.AttrUpItem","临时符",,"杂货"
"374","fire.pb.item.groceries.OtherItem","龙鳞","","杂货"
"422","fire.pb.item.TuzhiItem","打造图纸",,"杂货"
"518","fire.pb.item.groceries.HuobanItem","伙伴",,"杂货"
"534","fire.pb.item.groceries.PetItem","宠物",,"杂货"
"3734","fire.pb.item.groceries.ChangeShapCard","变身卡",,"杂货"
"390","fire.pb.item.groceries.RideItem","坐骑道具",,"杂货"
"566","fire.pb.item.groceries.RoleParticleBook","人物专精道具",,"杂货"
"550","fire.pb.item.groceries.PetParticleBook","宠物专精道具",,"杂货"
"2470","fire.pb.item.TuzhiItem","打造材料","","杂货"
"4262","fire.pb.item.groceries.Present","奖励",,"杂货"
"4278","fire.pb.item.groceries.DoublePointItem","杂货",,"杂货"
"4518","fire.pb.item.groceries.Present","礼包",,"杂货"
"4534","fire.pb.item.groceries.ColorItem","人物染色道具","","杂货"
"4550","fire.pb.item.groceries.ColorItem","宠物染色道具","","杂货"
"40","fire.pb.item.equip.NecklaceItem","项链",,"装备"
"72","fire.pb.item.equip.BeltItem","腰带",,"装备"
"88","fire.pb.item.equip.BootItem","鞋子",,"装备"
"312","fire.pb.item.equip.ClothformaleItem","男衣服",,"装备"
"568","fire.pb.item.equip.ClothforfemaleItem","女衣服",,"装备"
"904","","打造矿石",,"装备"
"1288","fire.pb.item.equip.SwordItem","长剑","changjian_","装备"
"1384","fire.pb.item.equip.HelmetFemaleItem","女头盔",,"装备"
"1640","fire.pb.item.equip.HelmetMaleItem","男头盔",,"装备"
"1800","fire.pb.item.equip.FluteItem","匕首","gong_","装备"
"2824","fire.pb.item.equip.AxeItem","魔棒","mobang_","装备"
"3080","fire.pb.item.equip.ClawItem","爪刺",,"装备"
"4104","fire.pb.item.equip.StaffItem","法杖","fazhang_","装备"
"4360","fire.pb.item.equip.HammerItem","锤子","chuizi_","装备"
"25","fire.pb.item.task.CanuseItem","任务物品",,"任务道具"
"41","fire.pb.item.task.CanntuseItem","任务物品",,"任务道具"
"281","fire.pb.item.task.TriggerItem","任务物品",,"任务道具"
"313","fire.pb.item.task.JinNangItem","秘籍",,"任务道具"
"4566","fire.pb.item.groceries.SilverKeyItem","银钥匙",,
"4582","fire.pb.item.groceries.GoldKeyItem","金钥匙",,
"4598","fire.pb.item.groceries.ShenShouExchangeItem","神兜兜","","杂货"
