"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间"
"36984","96","金钱","fffff2df","1","1158","个","0","90","5500","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","大量的金钱。","金钱",,"0","使用方法：直接获得金钱","0",,,,"0",,,,,,,,,,,,,,,,
"36985","96","经验","fffff2df","1","1453","个","0","90","5500","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","大量的经验。","经验",,"0","使用方法：直接获得经验","0",,,,"0",,,,,,,,,,,,,,,,
"40008","2470","天火原石","FF00b1ff","3","1045","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","带有神性的石头，是强化打造武器的材料。","装备打造材料","","0","使用方法：装备打造中使用","3","6",,,"0",,,,,"4","",,,,,,,,,"1",""
"40009","2470","风暴原石","FF00b1ff","3","1008","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","带有神性的石头，是强化打造头盔的材料。","装备打造材料","","0","使用方法：装备打造中使用","3","6",,,"0",,,,,"4","",,,,,,,,,"1",""
"40010","2470","宁静原石","FF00b1ff","3","1046","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","带有神性的石头，是强化打造胸甲的材料。","装备打造材料","","0","使用方法：装备打造中使用","3","6",,,"0",,,,,"4","",,,,,,,,,"1",""
"40011","2470","洞察原石","FF00b1ff","3","1047","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","带有神性的石头，是强化打造项链、腰带、鞋子的材料。","装备打造材料","","0","使用方法：装备打造中使用","3","6",,,"0",,,,,"4","",,,,,,,,,"1",""
"40012","150","修理符","fffff2df","1","1074","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","修理装备必备材料。","装备修理材料","","0","使用方法：装备打造中使用","0",,,,"0",,,,,"4","",,,,,,,,,,""
"40013","150","修理宝石","FF06cc11","2","1130","块","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","地精工程大师出品，可以随时修理身上的装备。","装备修理材料","","0","使用方法：装备打造中使用","3","8",,,"0",,,,,"4","",,,,,,,,,,""
"330000","96","金币","fffff2df","1","1088","个","0","90","5500","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","MT中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。","摆摊交易","","0","使用方法：直接获得金币","0",,,,"0",,,,,,,,,,,,,,,,
"330100","96","公会技能","fffff2df","1","233","个","0","90","5500","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","学习公会技能，可以烹饪食物或炼制三级药品","制作烹饪或炼药","","0","","0",,,,"0",,,,,,,,,,,,,,,,
"331000","294","还原卷轴?体","FF00b1ff","3","1059","张","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点体质属性还原为潜能点。","洗去角色体质","3","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1","1"
"331001","294","还原卷轴?智","FF00b1ff","3","1060","张","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点智慧属性还原为潜能点。","洗去角色智力","3","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1","1"
"331002","294","还原卷轴?力","FF00b1ff","3","1063","张","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点力量属性还原为潜能点。","洗去角色力量","3","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1","1"
"331003","294","还原卷轴?耐","FF00b1ff","3","1061","张","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点耐力属性还原为潜能点。","洗去角色耐力","3","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1","1"
"331004","294","还原卷轴?敏","FF00b1ff","3","1064","张","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","上古遗留下来的魔法卷轴，拥有神奇的力量，使用者将已分配的2点敏捷属性还原为潜能点。","洗去角色敏捷","3","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1","1"
"331005","294","麦迪文之书","FFd200ff","4","1091","张","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","999","0","0","藏在卡拉赞深处的魔法书籍，蕴含着强大的魔力，能让人重获新生，使用者所有已分配的属性还原为潜能点。","重置角色加点","4","161506","使用方法：点击使用","3","48",,,"0",,,,,,,,,,,,,,,"1",
"331101","310","武器模具","fffff2df","1","1137","个","10","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","10",,,,"2","3",,,,,,,,,,"1"
"331102","310","武器模具","fffff2df","1","1137","个","20","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","20",,,,"2","3",,,,,,,,,,"1"
"331103","310","武器模具","fffff2df","1","1137","个","30","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","30",,,,"2","3",,,,,,,,,,"1"
"331104","310","武器模具","fffff2df","1","1137","个","40","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","40",,,,"2","3",,,,,,,,,,"1"
"331105","310","武器模具","fffff2df","1","1137","个","50","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","50",,,,"2","3",,,,,,,,,,"1"
"331106","310","武器模具","fffff2df","1","1137","个","60","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","60",,,,"2","3",,,,,,,,,,"1"
"331107","310","武器模具","fffff2df","1","1137","个","70","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","70",,,,"2","3",,,,,,,,,,"1"
"331108","310","武器模具","fffff2df","1","1137","个","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","80",,,,"2","3",,,,,,,,,,"1"
"331109","310","武器模具","fffff2df","1","1137","个","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","90",,,,"2","3",,,,,,,,,,"1"
"331110","310","武器模具","fffff2df","1","1137","个","100","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","100",,,,"2","3",,,,,,,,,,"1"
"331111","310","武器模具","fffff2df","1","1137","个","110","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","110",,,,"2","3",,,,,,,,,,"1"
"331112","310","武器模具","fffff2df","1","1137","个","120","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","120",,,,"2","3",,,,,,,,,,"1"
"331113","310","武器模具","fffff2df","1","1137","个","130","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","130",,,,"2","3",,,,,,,,,,"1"
"331114","310","武器模具","fffff2df","1","1137","个","140","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","140",,,,"2","3",,,,,,,,,,"1"
"331115","310","武器模具","fffff2df","1","1137","个","150","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理武器，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0","150",,,,"2","3",,,,,,,,,,"1"
"331131","326","防具模具","fffff2df","1","1138","个","10","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"10",,,"2","3",,,,,,,,,,"1"
"331132","326","防具模具","fffff2df","1","1138","个","20","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"20",,,"2","3",,,,,,,,,,"1"
