"编号","类型","部件ID","显示名","功能说明","道具名颜色","颜色品质","装备颜色","装备前缀","造型编号","武器造型编号","单位","等级","需求等级","排序ID","角色需求1","角色需求2","性别需求","可否摧毁","可否摆摊上架","默认有效时间","不能被放入的包裹id1","不能被放入的包裹id2","不能被放入的包裹id3","可否给予战斗中对象","可否卖店","能否邮寄","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","售卖商店类型","售卖NPCID","道具使用方法","赠送类型","亲密度","货币类型","从NPC购买价","出售价格系数","对应使用方法答案ID","点击寻路链接及右键使用事件","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","淬炼等级","是否已鉴定","耐久度系数","耐久上限","附加属性1值","附加属性2值","附加属性3值","附加属性1id","附加属性2id","附加属性3id","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","增加躲闪","增加命中","增加内功防御","增加内功伤害","增加速度","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","封印抗性","加强封印","特技id","是否生成特殊属性","套装id","附加属性条数","绿色评分","蓝色评分","橙色评分","紫色评分","暗金色评分","特效id","左手路径1","左手路径2","右手路径1","右手路径2","左手挂点1","左手挂点2","右手挂点1","右手挂点2","宝石槽数量","槽1开启等级","槽2开启等级","槽3开启等级","可镶嵌最高等级宝石","可镶嵌宝石类型1","可镶嵌宝石类型2","可镶嵌宝石类型3","可镶嵌宝石类型4","可镶嵌宝石类型5","宝石1","宝石2","宝石3","宝石4","宝石5","宝石6","宝石7","宝石8","宝石9","宝石10","装备基础属性ID","附加属性随机库ID","附加属性出现几率","附加属性双加随机库ID","附加属性单加随机库ID","附加属性加减随机库ID","特效随机库ID","特技随机库ID","装备普通修理失败几率","装备修理材料ID","装备修理材料消耗数量","装备修理材料ID1","装备修理材料消耗数量1","装备修理材料ID2","装备修理材料消耗数量2","装备修理材料ID3","装备修理材料消耗数量3","装备修理材料ID4","装备修理材料消耗数量4","装备修理材料ID5","装备修理材料消耗数量5","装备修理材料ID6","装备修理材料消耗数量6","装备修理材料ID7","装备修理材料消耗数量7","装备修理材料ID8","装备修理材料消耗数量8","装备修理材料ID9","装备修理材料消耗数量9","装备修理材料ID10","装备修理材料消耗数量10","装备特殊修理材料ID","装备特殊修理材料消耗数量","装备普通修理消耗金钱","普通修理消耗金钱类型","装备特殊修理消耗金钱","特殊修理消耗金钱类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","珍品评分","是否自动分解","分解获得银币","分解额外获得物品1","分解额外获得物品2","分解额外获得物品3","分解额外获得物品4","分解额外获得物品5","是否自动播放特效","是否有分解按钮","摆摊冻结时间","是否稀有"
"41600","1288","1","策划神器·头盔","1级神器","fffcfbfb","1","5","1","1444","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·头盔","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","","","","81","811","1231","","","","0","0","0","9999","0","0","9999","0","0","0","9999","0","0","0","0","292","364","0","0","686","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","","","","10","4","6","","","","","","","","","","","","","","100000","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0","1","",
"41601","312","2","策划神器·项链","1级神器","fffcfbfb","5","5","1","1538","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·项链","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","9999","","","1241","101","151","821","","","0","0","9999","0","0","9999","0","9999","0","9999","0","0","0","0","0","292","364","0","0","686","0","","","","","","","","","2","","","","10","4","6","","","","","","","","","","","","","","100001","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0",,,
"41602","1640","3","策划神器·衣服","1级神器","fffcfbfb","5","5","1","1468","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·衣服","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","9999","","","111","821","101","151","","","0","9999","9999","0","0","9999","0","9999","0","0","0","0","0","0","0","292","364","0","0","686","0","","","","","","","","","2","","","","10","4","6","","","","","","","","","","","","","","100000","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0",,,
"41603","72","4","策划神器·腰带","1级神器","fffcfbfb","5","5","1","1550","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·腰带","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","","","","101","821","131","","","","0","0","9999","0","0","9999","0","0","9999","0","0","0","0","0","0","292","364","0","0","686","0","","","","","","","","","2","","","","10","4","6","","","","","","","","","","","","","","100000","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0",,,
"41604","88","5","策划神器·鞋子","1级神器","fffcfbfb","5","5","1","1562","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·鞋子","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","9999","","","101","821","131","121","","","9999","0","9999","0","9999","9999","0","0","0","0","0","0","0","0","0","292","364","0","0","686","0","","","","","","","","","2","","","","10","4","6","","","","","","","","","","","","","","100002","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0",,,
"41605","40","6","策划神器·未知","1级神器","fffcfbfb","5","5","1","1562","1202","件","1","1","7000","","","0","false","1","0","","","","false","0","true","false","false","false","0","0","1","0","1","0","60","策划神器·未知","","10378","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","100","100","0","0","0","0","0","0","9999","9999","9999","","","","141","821","101","","","","0","0","9999","0","0","9999","0","0","9999","0","0","0","0","0","0","292","364","0","0","686","0","","","","","","","","","2","","","","10","4","6","","","","","","","","","","","","","","100000","1;2","8000","1;1","1","1;2","2001","3001","50","40012","1","40012","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","40013","1","20100","1","20100","1","","",,,,,,,,,"0","30000","40008,1,10;40008,2,5;40008,3,3","341105,1,10;341105,2,5;341105,3,3","341106,1,10;341106,2,5;341106,3,3","350500,1,10;350500,2,5;350500,3,3","350600,1,10;350600,2,5;350600,3,3","0",,,
"4001101","1288","0","亡灵短剑","1级白装剑","fffff2df","1","1","1","1504","101","件","1","1","7000","1","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","亡灵骨骼锻造，上铸有简单图案。","1","161504","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","4001101","","0","","","","","","50",,,"331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","1000","",,,,,"0","1",,
"4001102","4360","0","制怒之锤","1级白装锤","fffff2df","1","1","1","1492","201","件","1","1","7000","2","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","普通石头拼凑的石制武器。","1","161504","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","4001102","","0","","","","","","50",,,"331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","1000","",,,,,"0","1",,
"4001103","1800","0","尖刺匕首","1级白装匕首","fffff2df","1","1","1","1575","301","件","1","1","7000","3","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","锋利的匕首，初学者必备的武器。","1","161504","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","4001103","","0","","","","","","50",,,"331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","1000","",,,,,"0","1",,
"4001104","3080","0","恐惧之爪","1级白装爪","fffff2df","1","1","1","1542","401","件","1","1","7000","4","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","普通的爪刺，制作简单但实用。","1","161504","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","4001104","","0","","","","","","50",,,"331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","1000","",,,,,"0","1",,
"4001105","2824","0","失落之杖","1级白装魔棒","fffff2df","1","1","1","1516","501","件","1","1","7000","5","","0","false","0","0","","","","false","0","false","false","false","false","0","0","1","0","1","0","60","轻盈便捷，牧师的练手武器。","1","161504","使用方法：点击装备按钮","3","1","3","500","250","0","0","","","","","0","1","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","3da_weapon_changjian01_s","3da_weapon_changjian01_b","","","CS_Rhand","CS_Rhand","2","30","60","","0","2","4","7","8","","","","","","","","","","","","4001105","","0","","","","","","50",,,"331101","1","331102","1","331103","1","331104","1","331105","1","331106","1","331107","1","331108","1","331109","1","331110","1","40013","1","20100","1","20100","1","","",,,,,,,,"99999","0","1000","",,,,,"0","1",,
