"id","类型","参数","所属副本"
"190001","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009;count=1","110"
"190002","6","submititems=320000,320001,320002;count=1","110"
"190003","4","questionsid=1;count=3","110"
"190004","5","battleid=2600","110"
"190005","5","battleid=2600","110"
"190006","5","battleid=2601","110"
"190007","5","battleid=2602","110"
"190008","5","battleid=2603","110"
"190009","5","battleid=2604","110"
"190010","5","battleid=2605","110"
"190011","5","battleid=2606","110"
"190012","5","battleid=2607","110"
"190013","5","battleid=2608","110"
"190014","5","battleid=2609","110"
"190015","5","battleid=2610","110"
"190016","5","battleid=2611","110"
"190017","5","battleid=2612","110"
"190018","5","battleid=2613","110"
"190019","5","battleid=2614","110"
"190020","5","battleid=2615","110"
"190021","5","battleid=2616","110"
"190022","5","battleid=2617","110"
"190023","5","battleid=2618","110"
"190024","5","battleid=2619","110"
"190025","5","battleid=2620","110"
"190026","5","battleid=2621","110"
"190027","5","battleid=2622","110"
"190028","5","battleid=2623","110"
"190029","5","battleid=2624","110"
"190030","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009,35010,35011,35012,35013,35014,35015,35016,35017,35018;count=1","110"
"190031","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009,35010,35011,35012,35013,35014,35015,35016,35017,35018,35019,35020,35021,35022,35023,35024,35025,35026,35027;count=1","110"
"190032","6","submititems=320000,320001,320002,320003,320004,320005;count=1","110"
"190033","6","submititems=320000,320001,320002,320003,320004,320005,320006,320007;count=1","110"
"200001","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009;count=1","111"
"200002","6","submititems=320000,320001,320002;count=1","111"
"200003","4","questionsid=1;count=3","111"
"200004","5","battleid=2631","111"
"200005","5","battleid=2631","111"
"200006","5","battleid=2632","111"
"200007","5","battleid=2633","111"
"200008","5","battleid=2634","111"
"200009","5","battleid=2635","111"
"200010","5","battleid=2636","111"
"200011","5","battleid=2637","111"
"200012","5","battleid=2638","111"
"200013","5","battleid=2639","111"
"200014","5","battleid=2640","111"
"200015","5","battleid=2641","111"
"200016","5","battleid=2642","111"
"200017","5","battleid=2643","111"
"200018","5","battleid=2644","111"
"200019","5","battleid=2645","111"
"200020","5","battleid=2646","111"
"200021","5","battleid=2647","111"
"200022","5","battleid=2648","111"
"200023","5","battleid=2649","111"
"200024","5","battleid=2650","111"
"200025","5","battleid=2651","111"
"200026","5","battleid=2652","111"
"200027","5","battleid=2653","111"
"200028","5","battleid=2654","111"
"200029","5","battleid=2655","111"
"200030","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009,35010,35011,35012,35013,35014,35015,35016,35017,35018;count=1","111"
"200031","6","submititems=35001,35002,35003,35004,35005,35006,35007,35008,35009,35010,35011,35012,35013,35014,35015,35016,35017,35018,35019,35020,35021,35022,35023,35024,35025,35026,35027;count=1","111"
"200032","6","submititems=320000,320001,320002,320003,320004,320005;count=1","111"
"200033","6","submititems=320000,320001,320002,320003,320004,320005,320006,320007;count=1","111"
