"id","物品id1","物品数量1","宠物id1","宠物数量1","物品1是否绑定","宠物1是否绑定","标签1","物品id2","物品数量2","宠物id2","宠物数量2","物品2是否绑定","宠物2是否绑定","标签2","物品id3","物品数量3","宠物id3","宠物数量3","物品3是否绑定","宠物3是否绑定","标签3","物品id4","物品数量4","宠物id4","宠物数量4","物品4是否绑定","宠物4是否绑定","标签4","物品id5","物品数量5","宠物id5","宠物数量5","物品5是否绑定","宠物5是否绑定","标签5","物品id6","物品数量6","宠物id6","宠物数量6","物品6是否绑定","宠物6是否绑定","标签6"
"1",,,"506005","1","0","1",,,,"506005","1","0","1",,,,"506005","1","0","1",,,,"506005","1","0","1",,,,"506005","1","0","1",,,,"506005","1","0","1",
"2","331402","1","","","1","0",,"331402","1","","","1","0",,"331402","1","","","1","0",,"331402","1","","","1","0",,"331402","1","","","1","0",,"331402","1","","","1","0",
"3","332018","1",,,"0","0","set:jiangli image:7day","332018","1",,,"0","0","set:jiangli image:7day","332018","1",,,"0","0","set:jiangli image:7day","332018","1",,,"0","0","set:jiangli image:7day","332018","1",,,"0","0","set:jiangli image:7day","332018","1",,,"0","0","set:jiangli image:7day"
"4","332072","1",,,"0","0","set:jiangli image:7day","332072","1",,,"0","0","set:jiangli image:7day","332072","1",,,"0","0","set:jiangli image:7day","332072","1",,,"0","0","set:jiangli image:7day","332072","1",,,"0","0","set:jiangli image:7day","332072","1",,,"0","0","set:jiangli image:7day"
"5","332009","1",,,"0","0","set:jiangli image:7day","332009","1",,,"0","0","set:jiangli image:7day","332009","1",,,"0","0","set:jiangli image:7day","332009","1",,,"0","0","set:jiangli image:7day","332009","1",,,"0","0","set:jiangli image:7day","332009","1",,,"0","0","set:jiangli image:7day"
"6","332054","1",,,"0","0","set:jiangli image:7day","332054","1",,,"0","0","set:jiangli image:7day","332054","1",,,"0","0","set:jiangli image:7day","332054","1",,,"0","0","set:jiangli image:7day","332054","1",,,"0","0","set:jiangli image:7day","332054","1",,,"0","0","set:jiangli image:7day"
"7","32014","1",,,"0","0",,"32014","1",,,"0","0",,"32014","1",,,"0","0",,"32014","1",,,"0","0",,"32014","1",,,"0","0",,"32014","1",,,"0","0",
"8","32015","1",,,"0","0",,"32015","1",,,"0","0",,"32015","1",,,"0","0",,"32015","1",,,"0","0",,"32015","1",,,"0","0",,"32015","1",,,"0","0",
"9","35001","1",,,"0","0",,"35001","1",,,"0","0",,"35001","1",,,"0","0",,"35001","1",,,"0","0",,"35001","1",,,"0","0",,"35001","1",,,"0","0",
"10","35003","1",,,"0","0",,"35003","1",,,"0","0",,"35003","1",,,"0","0",,"35003","1",,,"0","0",,"35003","1",,,"0","0",,"35003","1",,,"0","0",
"11","335002","1",,,"0","0",,"335002","1",,,"0","0",,"335002","1",,,"0","0",,"335002","1",,,"0","0",,"335002","1",,,"0","0",,"335002","1",,,"0","0",
