"公会药房等级","药房升级费用","各类药材生成数量上限","双倍产药公会资金消耗","三倍产药公会资金消耗","公会药房维护费用/天"
"0","1500000","0","0","0","120000"
"1","3000000","4","400000","800000","240000"
"2","4500000","7","700000","1400000","360000"
"3","6000000","10","1000000","2000000","480000"
"4","7500000","13","1300000","2600000","600000"
"5","9000000","16","1600000","3200000","720000"
"6","10500000","19","1900000","3800000","840000"
"7","12000000","22","2200000","4400000","960000"
"8","13500000","25","2500000","5000000","1080000"
"9","15000000","28","2800000","5600000","1200000"
"10","16500000","31","3100000","6200000","1320000"
