"伙伴id","伙伴名称","类型","职业","攻击类型","造型id","头像id","大小比例","是否初始获得","生命","魔法","物攻","物防","法攻","法防","速度","治疗强度","控制命中","控制抗性","生命成长","魔法成长","物攻成长","物防成长","法攻成长","法防成长","速度成长","治疗强度成长","控制命中成长","控制抗性成长","战斗AI","技能1","技能2","技能3","技能4","技能5","技能6","技能7","技能8","技能9","精通技能","花费1类型","7天花费1","30天花费1","永久花费1","花费2类型","7天花费2","30天花费2","永久花费2","花费3类型","7天花费3","30天花费3","永久花费3","战斗AI类型1","战斗AI类型2","战斗AI类型3","战斗AI类型4","技能等级系数","技能等级常数"
"28100","桶牛","1","11","1","1020133","30204","1","1","194","200","97","49","78","39","29","19","0","0","36.380000000000003","17.739999999999998","12.7","7.05","3.38","5.45","5.0199999999999996","1.46","10","10.4",,"711001","711002","711003","711004","711005","711007","711008",,"","711001",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13002","13002","13002","1","1"
"28101","暗夜男","1","11","1","1020117","30253","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","17.739999999999998","12.7","7.05","3.38","5.45","5.0199999999999996","1.46","10","10.4",,"712001","712002","712003","712004","712005","712007","712008",,"","712003",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13001","13001","13001","1","1"
"28102","会长","1","11","1","1020116","30243","1","0","200","200","100","50","80","40","30","20","0","0","37.51","17.739999999999998","13.09","7.27","3.48","5.62","5.18","1.5","10","10.4",,"713001","713002","713003","713004","713005","713007","713008",,"","713003",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13001","13001","13001","1","1"
"28103","牛头人酋长","1","11","1","1020125","30302","0.9","0","206","200","103","52","82","41","31","21","0","0","38.64","17.739999999999998","13.48","7.49","3.58","5.79","5.34","1.55","10","10.4",,"714001","714002","714003","714004","714005","714007","714008",,"","714001",,"216","648","1944",,"108000","324000","972000",,"0","0","0","13100","13002","13002","13002","1","1"
"28104","国足","3","12","2","1020106","30306","1","0","194","200","97","49","78","39","29","19","0","0","44.1","34.619999999999997","5.89","7.91","7.21","5.92","6.64","2.23","9.6","10.4",,"721001","721002","721003","721004","721005","721006","721007","","","721001",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13003","13003","13003","1","1"
"28105","锁蕊深大帝","3","12","2","1010148","30215","1","0","200","200","100","50","80","40","30","20","0","0","45.46","34.619999999999997","6.07","8.15","7.43","6.1","6.85","2.2999999999999998","9.8000000000000007","10.4",,"722001","722002","722003","722004","722005","722006","722007","","","722004",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13003","13003","13003","1","1"
"28106","大大姐","3","12","2","1020119","30201","1","0","206","200","103","52","82","41","31","21","0","0","46.82","34.619999999999997","6.25","8.39","7.65","6.28","7.06","2.37","10","10.4",,"723001","723002","723003","723004","723005","723006","723007","","","723002",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13004","13004","13004","1","1"
"28107","光芒使者","3","12","2","1020128","30296","1","0","212","200","106","53","85","42","32","21","0","0","48.19","34.619999999999997","6.43","8.64","7.88","6.47","7.26","2.44","10.199999999999999","10.4",,"724001","724002","724003","724004","724005","724006","724007","","","724004",,"216","648","1944",,"108000","324000","972000",,"0","0","0","13100","13003","13003","13003","1","1"
"28108","美屡","1","13","1","1020111","30261","1","0","194","200","97","49","78","39","29","19","0","0","40.58","17.739999999999998","10.51","8.02","3.38","5.45","5.0199999999999996","1.46","0","10.4",,"731001","731002","731003","731004","731005","731006","731007","731008","731000","731001",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13005","13005","13005","1","1"
"28109","冬","1","13","1","1020135","30261","1","0","200","200","100","50","80","40","30","20","0","0","41.83","17.739999999999998","10.84","8.27","3.48","5.62","5.18","1.5","0","10.4",,"732001","732002","732003","732004","732005","732006","732007","732008","732000","732005",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13006","13006","13006","1","1"
"28110","兽王","1","13","1","1020126","30313","0.9","0","206","200","103","52","82","41","31","21","0","0","43.08","17.739999999999998","11.17","8.52","3.58","5.79","5.34","1.55","0","10.4",,"733001","733002","733003","733004","733005","733006","733007","733008","733000","733001",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13005","13005","13005","1","1"
"28111","神棍德","4","14","1","1020115","30255","1","0","194","200","97","49","78","39","29","19","0","0","38.32","17.739999999999998","11.28","11.04","3.38","5.31","5.0199999999999996","1.46","0","10.4",,"741001","741002","741003","741004","741005","741006","741007","","","741002",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13008","13008","13008","1","1"
