"序号","页签类型","活动名","需求等级","等级文本","未达等级到文本","上限等级","排序","开启时间","活动详情","活动要求","经验奖励","物品奖励","物品id","物品id2","物品id3","物品id4","物品id5","推荐度","标签图标","名字颜色","名字描边","图片id","活动周期","服务器发","最大次数","无限制计次","重置次数类型","最大活跃度","每次获得活跃","限时活动对应id","进行中提示","参加类型","对应1","对应2","盈福经验","盈福经验奖励","盈福总次数"
"101","1","职业任务","15","达到15级","15级开启","155","1","全天","职业联盟发布的任务，不但奖励丰厚，而且还能获得职业贡献，是每天必做的任务。","单人任务","大量经验","","334100","32037","32038","336001",,"1","set:jiangli image:tuijian","fff08723","ff2d1600","1150","1,2,3,4,5,6,7","","20","0","1","20","1","-1","","6","","","1","5000","20"
"102","1","日常副本","20","达到20级","20级开启","155","3","全天","在银色黎明指挥官处接取燃烧的远征任务，组队人数越多奖励越丰富，圣骑士、牧师、德鲁伊职业的玩家在任务中可以直接震慑并瓦解部分敌人，正确的职业搭配可以让任务难度大大降低。记得在挂机界面领取双倍点数，可以获得更多的奖励。","组队任务","大量经验","","336013","336003","336009",,"","2","set:jiangli image:tuijian","ffc800c8","ff230023","1528","1,2,3,4,5,6,7","","-1","0","1","20","1","-1","","7","161501","5","1","5070","20"
"103","1","英雄试炼","18","达到18级","18级开启","155","2","全天","领取任务后，通过任意途径击杀的怪物累计到一定数量后，会获得丰厚的经验奖励。","单人或组队","大量经验","","338000","","","","","3","set:jiangli image:tuijian","fff08723","ff2d1600","1094","1,2,3,4,5,6,7","","1","0","1","5","5","-1","","4","100002","","1","5280","1"
"104","1","考古任务","25","达到25级","25级开启","155","4","全天","听说有一些古老的宝图在盗贼之间流传，去抓捕盗贼，夺得宝图寻找宝藏吧。","单人任务","大量经验","丰厚水晶、宝石奖励","331300","","","","","4","set:jiangli image:tuijian","ffc800c8","ff230023","1155","1,2,3,4,5,6,7","","15","0","1","15","1","-1","","1","161510","","0","0","0"
"105","1","古神爪牙","25","达到25级","25级开启","155","5","全天","使用藏宝图考古可能会释放出远古封印的古神，组队重新封印古神可以获得更多的奖励。等级需求：欧格瑞姆（25级），斯托姆城（40级），影月城（50级），月光海岸（60级），虚空要塞（70级），暮光林（80级），银松林（90级）","单人或组队","","","310102","336003","336004","339001","","5","set:jiangli image:tuijian","ff00beff","ff00222e","1004","1,2,3,4,5,6,7","","10","0","1","10","1","-1",,"5","","","1","5740","10"
"118","1","公会任务","35","达到35级","35级开启","155","7","全天","公会中公会守护者负责发布任务，完成任务不但可以获得经验和银币的奖励，还可以获得公会贡献哦。","单人或组队","","","320150","320154","336002",,"","6","set:jiangli image:tuijian","ffc800c8","ff2d1600","1417","1,2,3,4,5,6,7","","70","0","2","0","0","-1","","8","161301","","0","0","0"
"119","1","冰封王座","40","达到40级","40级开启","155","8","全天","单人挑战副本，闯关越多，奖励越丰富。","单人任务","","","336006","35011","310101","310102","360000","7","set:jiangli image:tuijian","ffc800c8","ff2d1600","1544","1,2,3,4,5,6,7","","-1","0","1","25","1","-1","","1","161521","","0","0","0"
"120","1","精英副本","30","达到30级","30级开启","155","6","全天","精英副本，每日可参加2次，越高级的副本奖励越丰厚","组队任务","","","331351","331401","310100","350600","336014","8","set:jiangli image:tuijian","ffc800c8","ff2d1600","1557","1,2,3,4,5,6,7","","2","0","1","20","10","-1","","1","161511","","1","5570","2"
"200","2","巨龙护卫","35","达到35级","35级开启","49","3","全天","每个时辰的10、30、50分投放，都会有巨龙护卫穿过龙界到人间掠夺财宝，组队参加挑战会获得不菲的奖励。此玩法需要玩家等级大于35级，至少3人组队。","组队任务","","","310000","310001","","","","0","set:jiangli image:tuijian","fff08723","ff230023","1219","1,2,3,4,5,6,7","","10","0","1","0","0","200","全天投放","0","","","0","0","0"
"201","2","巨龙军团","50","达到50级","50级开启","155","7","整点投放","每个整点，都会有巨龙穿过龙界到人间掠夺财宝，组队参加挑战会获得不菲的奖励。此玩法需要玩家等级大于50级，至少3人组队。","组队任务",,,"40013","331300","331353","334100","","0","set:jiangli image:tuijian","ffc800c8","ff230023","1219","1,2,3,4,5,6,7","","5","0","1","0","0","201","整点投放","0",,,"0","0","0"
"208","2","冠军试炼","40","达到40级","40级开启","155","5","周1,3,5晚上20:30-21:10","组队进入冠军的试炼场，速度最快的队伍将获得额外的奖励。可在紫罗兰（105,87）银色北伐战略官处参加活动。","组队任务",,,"336012","331301","336008","320154","35021","0","set:jiangli image:tuijian","ffc800c8","ff230023","1219","1,3,5",,"-1","1","1","15","1","208","开启","1","161515",,"0","0","0"
"213","2","MT人文探索","30","达到30级","30级开启","155","1","11:00-24:00","了解MT的世界，并有丰厚的奖励。","单人任务",,,"334101","360000","",,,"0","set:jiangli image:tuijian","ffc800c8","ff230023","1065","1,2,3,4,5,6,7",,"10","0","1","10","1","213","开启","9",,,"0","0","0"
"211","2","1V1竞技场","40","达到40级","40级开启","155","4","周2,4,6晚上20:30-21:10","单人携带伙伴的PK活动，看看谁才是绝世英雄。","单人任务",,,"331350","336008","310100","350807","341107","0","set:jiangli image:tuijian","ffc800c8","ff230023","1416","2,4,6",,"-1","0","1","10","1","211","开启","1","161518",,"0","0","0"
"218","2","公会副本","40","达到40级","40级开启","155","2","周2,4,6晚上21:30-22:30","勇闯公会副本，层数越高奖励越丰富，可以获得越高的挂机经验。","组队任务",,,"331401","331350","336013","336012","336002","0","set:jiangli image:tuijian","ffc800c8","ff230023","1417","2,4,6",,"-1","0","1","0","0","218","开启","8","161303",,"0","0","0"
"212","2","3V3竞技场","45","达到45级","45级开启","155","6","周1,3,5,7晚上21:30-22:30","厌倦了无休止的打怪，想来点刺激的？3v3竞技场会满足你的要求！谁强谁弱用实力来说话，你不是一个人在战斗！","组队任务",,,"331350","336008","310100","350807","341107","0","set:jiangli image:tuijian","ffc800c8","ff230023","1416","1,3,5,7",,"-1","0","1","15","1","212","开启","1","161519",,"0","0","0"
