"事件ID","名称","图标","类型","事件刷怪组ID","战斗ID","战斗奖励","技能ID","自己系统提示","全服通告提示"
"1","古神爪牙","100","1","1","","",,"150197","150198"
"2","宝宝幼儿园","101","1","3","","",,"150203","150204"
"3","古神","102","1","2","","",,"150201","150202"
"4","遇怪","103","2","","2329","5492@100",,"150195",""
"5","陷阱","104","3","","","","810000","150199",
"50","世界宝箱","100","1","4",,,,"160412","160413"
"51","世界宝箱","100","1","5",,,,"160412","160413"
"52","世界宝箱","100","1","6",,,,"160412","160413"
"53","世界宝箱","100","1","7",,,,"160412","160413"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
