"编号","礼包道具ID","角色限制","性别限制","打开礼包时的客户端提示","奖励表ID","银币奖励","符石奖励","货币类型","货币值","道具1ID","道具2ID","道具3ID","道具4ID","道具5ID","道具6ID","道具7ID","道具8ID","道具9ID","道具10ID","道具11ID","道具12ID","道具1数量","道具2数量","道具3数量","道具4数量","道具5数量","道具6数量","道具7数量","道具8数量","道具9数量","道具10数量","道具11数量","道具12数量","道具1绑定","道具2绑定","道具3绑定","道具4绑定","道具5绑定","道具6绑定","道具7绑定","道具8绑定","道具9绑定","道具10绑定","道具11绑定","道具12绑定"
"2716","334000","1","0","0","0","0","0","","","335000","32037","32038","4001114","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2717","334000","2","0","0","0","0","0","","","335000","32037","32038","4001115","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2718","334000","3","0","0","0","0","0","","","335000","32037","32038","4001116","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2719","334000","4","0","0","0","0","0","","","335000","32037","32038","4001117","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2720","334000","5","0","0","0","0","0","","","335000","32037","32038","4001118","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2721","334000","6","0","0","0","0","0","","","335000","32037","32038","4001119","334001",,,,,,,,"1","1","1","1","1",,,,,,,,"0","0","0","0","0","","","","","","",
"2722","334001","1","0","0","0","0","0","","","335000","32014","32015","4010114","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2723","334001","2","0","0","0","0","0","","","335000","32014","32015","4010115","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2724","334001","3","0","0","0","0","0","","","335000","32014","32015","4010116","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2725","334001","4","0","0","0","0","0","","","335000","32014","32015","4010117","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2726","334001","5","0","0","0","0","0","","","335000","32014","32015","4010118","4010220","4010322","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2727","334001","6","0","0","0","0","0","","","335000","32014","32015","4010119","4010221","4010323","4010424","4010525","4010626","334002",,,"1","1","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2728","334002","1","0","0","0","0","0","","","335004","4020114","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2729","334002","2","0","0","0","0","0","","","335004","4020115","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2730","334002","3","0","0","0","0","0","","","335004","4020116","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2731","334002","4","0","0","0","0","0","","","335004","4020117","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2732","334002","5","0","0","0","0","0","","","335004","4020118","4020220","4020322","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2733","334002","6","0","0","0","0","0","","","335004","4020119","4020221","4020323","4020424","4020525","4020626","334003",,,,,"1","1","1","1","1","1","1","1",,,,,"0","0","0","0","0","0","0","0","","","",
"2734","334003","1","0","0","0","0","0","","","335002","35003","5030114","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2735","334003","2","0","0","0","0","0","","","335002","35003","5030115","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2736","334003","3","0","0","0","0","0","","","335002","35003","5030116","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2737","334003","4","0","0","0","0","0","","","335002","35003","5030117","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2738","334003","5","0","0","0","0","0","","","335002","35003","5030118","5030220","5030322","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2739","334003","6","0","0","0","0","0","","","335002","35003","5030119","5030221","5030323","5030424","5030525","5030626","334004",,,,"1","1","1","1","1","1","1","1","1",,,,"0","0","0","0","0","0","0","0","0","","",
"2740","334004","1","0","0","0","0","0","","","335005","360000","5040114","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2741","334004","2","0","0","0","0","0","","","335005","360000","5040115","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2742","334004","3","0","0","0","0","0","","","335005","360000","5040116","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2743","334004","4","0","0","0","0","0","","","335005","360000","5040117","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2744","334004","5","0","0","0","0","0","","","335005","360000","5040118","5040220","5040322","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2745","334004","6","0","0","0","0","0","","","335005","360000","5040119","5040221","5040323","5040424","5040525","5040626","331005","334005",,,"1","5","1","1","1","1","1","1","1","1",,,"0","0","0","0","0","0","0","0","0","0","",
"2746","334005","1","0","0","0","0","0","","","335006","311003","311009","334100","6050114","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2747","334005","2","0","0","0","0","0","","","335006","311003","311009","334100","6050115","6050221","5050323","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2748","334005","3","0","0","0","0","0","","","335006","311003","311009","334100","6050116","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2749","334005","4","0","0","0","0","0","","","335006","311003","311009","334100","6050117","6050221","5050323","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
"2750","334005","5","0","0","0","0","0","","","335006","311003","311009","334100","6050118","6050220","5050322","5050424","5050525","5050626","334006",,"1","1","1","10","1","1","1","1","1","1","1",,"0","1","1","0","1","1","0","0","0","0","0",
