"id","屏蔽字"
"1","shabi"
"2","shabi"
"3","售卖枪支"
"4","fuck"
"5","shit"
"6","fuc"
"7","fvc"
"8","Suck"
"9","bitch"
"10","Admin"
"11","bastard"
"12","butthead"
"13","butthole"
"14","dick"
"15","fosaon"
"16","cctv"
"17","gamemaster"
"18","kao"
"19","NMD"
"20","nnd"
"21","orgasmus"
"22","penis"
"23","sb"
"24","nimabi"
"25","sex"
"26","snatch"
"27","TMD"
"28","tnnd"
"29","JB"
"30","falundafa"
"31","J8"
"32","youxika"
"33","K????"
"34","????"
"35","????夜情"
"36","丁一????"
"37","万学????"
"38","万税"
"39","三K"
"40","三个????"
"41","三级????"
"42","上访"
"43","东条英机"
"44","中共"
"45","中关村大????"
"46","中华人民共和????"
"47","中国政府"
"48","中央"
"49","主席"
"50","乔传????"
"51","乔宗????"
"52","乔石"
"53","书记"
"54","仁青????"
"55","令计????"
"56","任泽????"
"57","何光"
"58","何勇"
"59","佘靖"
"60","俞正????"
"61","信仰危机"
"62","倪益????"
"63","做爱"
"64","傅克????"
"65","傅志????"
"66","储波"
"67","傻B"
"68","傻比"
"69","傻???"
"70","傻鄙"
"71","克林????"
"72","党卫????"
"73","全哲????"
"74","八九风波"
"75","六四"
"76","共产????"
"77","共党"
"78","共匪"
"79","关东????"
"80","军国主义"
"81","冤假错案"
"82","冯健????"
"83","冯永????"
"84","冲锋????"
"85","十六????"
"86","单霁????"
"87","卖淫"
"88","南云"
"89","南振????"
"90","博讯"
"91","卫留????"
"92","卵子"
"93","口交"
"94","台独"
"95","台湾"
"96","史莲????"
"97","叶小????"
"98","吉炳????"
"99","向巴平措"
"100","国共"
"101","国民????"
"102","基地组织"
"103","夏宝????"
"104","夏赞????"
"105","多吉才让"
"106","多维"
"107","大世????"
"108","大东????"
"109","大便"
"110","大纪????"
"111","天安????"
"112","太子????"
"113","套子"
"114","奚国????"
"115","委员"
"116","姜大????"
"117","姜建????"
"118","姜异????"
"119","姜福????"
"120","子宫"
"121","孙宝????"
"122","孙家????"
"123","孙忠????"
"124","孙文????"
"125","孙春????"
"126","孙淑????"
"127","孙淦"
"128","孙英"
"129","孙载????"
"130","孟学????"
"131","孟建????"
"132","季允????"
"133","安立????"
"134","宋爱????"
"135","宋祖????"
"136","宋秀????"
"137","小便"
"138","小平"
"139","小弟????"
"140","小鸡????"
"141","尚福????"
"142","尹凤????"
"143","山本"
"144","岳喜????"
"145","岳宣????"
"146","岳福????"
"147","崔会????"
"148","川岛芳子"
"149","巴特????"
"150","市长"
"151","布什"
"152","布穷"
"153","希特????"
"154","常万????"
"155","常委"
"156","常小????"
"157","干以????"
"158","床上????"
"159","康日????"
"160","廖晖"
"161","廖锡????"
"162","张中????"
"163","张云????"
"164","张俊????"
"165","张凤????"
"166","张华????"
"167","张孝????"
"168","张学????"
"169","张定????"
"170","张宝????"
"171","张左????"
"172","张平"
"173","张庆????"
"174","张德????"
"175","张恩????"
"176","张惠????"
"177","张文????"
"178","张春????"
"179","张树????"
"180","张毅"
"181","张玉????"
"182","张福????"
"183","张立????"
"184","张维????"
"185","张行????"
"186","张轩"
"187","张钰????"
"188","张高????"
"189","张黎"
"190","强卫"
"191","强暴"
"192","彭小????"
"193","彭祖????"
"194","徐光????"
"195","徐冠????"
"196","徐匡????"
"197","徐守????"
"198","徐志????"
"199","徐才????"
"200","徐承????"
"201","徐敬????"
"202","徐有????"
"203","徐荣????"
"204","性交"
"205","性爱"
"206","息中????"
"207","想上????"
"208","慰安????"
"209","戆B"
"210","戆卵"
"211","戆比"
"212","我太阳你"
"213","戳B"
"214","戳比"
"215","戴相????"
"216","戴秉????"
"217","打炮"
"218","打飞????"
"219","扼杀权利"
"220","拉登"
"221","挺起"
"222","排泄"
"223","推荐主机"
"224","摇头????"
"225","支树????"
"226","支那"
"227","政治"
"228","散襄????"
"229","文学????"
"230","新疆独立"
"231","杂碎"
"232","杂种"
"233","池宇????"
"234","汪光????"
"235","汪恕????"
"236","沈德????"
"237","沈淑????"
"238","沈跃????"
"239","沙比"
"240","法轮"
"241","法轮????"
"242","洪虎"
"243","温宗????"
"244","温家????"
"245","温熙????"
"246","游行"
"247","滕久????"
"248","滕文????"
"249","潘云????"
"250","灭族"
"251","热地"
"252","焦焕????"
"253","煞笔"
"254","熊光????"
"255","牟新????"
"256","牺牲????"
"257","狗娘"
"258","狗日"
"259","独裁"
"260","猥亵"
"261","你爷????"
"262","猥琐"
"263","疆独"
"264","疫情"
"265","疯狗"
"266","瘪三"
"267","白春????"
"268","白景????"
"269","白玛"
"270","白痴"
"271","睾丸"
"272","管理????"
"273","系统"
"274","红色????"
"275","纳粹"
