"id","对应npc（策划用）","对白"
"2001",,"我叫MT，宇宙第一的传奇~"
"2002",,"有人没穿内裤"
"2003",,"屌丝中的屌丝"
"2004",,"那个谁谁谁，你要去哪里"
"2005",,"我真傻，我不知掉山上有狼"
"2006",,"刀枪剑戟斧钺钩叉"
"2007",,"劣人给我一个十二格的包包"
"2008",,"看老娘的烈焰红唇"
"2009",,"画个圈圈诅咒你"
"2010",,"你知道吗，五火球教主是同性恋"
"2011",,"左黑书，右日晷，大红牛还使劲roll"
"2012",,"诅咒你roll点不过20"
"2013",,"DKP什么DKP,老子拿装备从来不用DKP"
"2014",,"盾墙CD啦，全体火力"
"2015",,"我要羊到你天荒地老，海枯石烂"
"2016",,"嘿嘿嘿，妹子大腿好白"
"2017",,"哦，加智力的法杖，MT的象征"
"2018",,"以后不给你们做面包了"
"2019",,"看我的羊教授之吻"
"2020",,"小妞，给大爷乐一个"
"2021",,"小妞不乐，那大爷给你乐一个"
"2022",,"施主……你媳妇是个妖孽"
"2023",,"别拿勤工俭学的身份给我讲黑社会的故事"
"2024",,"2010年，K哥的roll点阴谋被揭穿"
"2025",,"这位英雄，来件银鳞胸甲不"
"2026",,"哎呀呀，我家亲爱的怎么还不来"
"2027",,"脑残不算残疾，这不科学"
"2028",,"我叫MT，铜墙铁壁的身躯"
"2029",,"你们这是自寻死路"
"2030",,"那天，我只听到了奥妮克希亚深深的吸了一口气"
"2031",,"为了联盟！！！"
"2032",,"为了部落！！！"
"2033",,"为了奎尔沙拉斯"
"2034",,"圣光会制裁你"
"2035",,"那天晚上，我溜进血色的后门，你猜怎么着···"
"2036",,"玛拉顿里面住着一个你从来没有见过的公主"
"2037",,"大地母亲忽悠着你"
"2038",,"搂他，哦god；搂他"
"2039",,"为了辛多雷的荣耀"
"2040","哀木涕","看你妹啊！"
"2041","哀木涕","干嘛咧？"
"2042","哀木涕","嘿嘿，我太帅了。"
"2043","哀木涕","老子认钱不认人！"
"2044","傻馒","你有没有看到一头没教养的牛？"
"2045","傻馒","哇呀呀呀呀呀...(说完她给你加了个嗜血，然而却并没有任何卵用)"
"2046","傻馒","老娘的烈焰红唇！"
"2047","傻馒","别怕那些砖家叫兽，他们懂个毛。"
"2048","劣人","我近战劣人可不是好惹的。"
"2049","劣人","那天，我做梦梦到我和美屡...哎呀哎呀..."
"2050","劣人","你在质疑我的智商么？"
"2051","劣人","你知道得太多了"
"2052","呆贼","搞……搞……搞毛……啊！"
"2053","呆贼","我就是个茶...茶...茶几，上满充满了悲...悲剧。"
"2054","呆贼","你...你...你妹啊~"
"2055","呆贼","啊？无...无...无视我。"
"2056","小德","敢跟你德爷叫板！"
"2057","小德","我是神棍德。"
"2058","小德","银鳞胸甲，蓝色品质，5G一件，先到先得。"
"2059","小德","我打哒哒哒哒哒哒哒哒哒哒哒，快说，影牙城堡在哪？"
"2060","发丝","哼！不给你们面包吃了。"
"2061","发丝","讨厌，总盯着人家。"
"2062","发丝","坏样~"
"2063","发丝","哎，傻馒又脑残了。"
"2064","沐丝","诅咒你ROLL点不过20，诅咒你ROLL点不过20，诅咒你ROLL点不过20..."
"2065","沐丝","诅咒你ROLL点不过2~"
"2066","沐丝","哀木涕葛葛天生一副嘲讽脸，将来必成大事。"
"2067","沐丝","疑，哀木涕葛葛去哪了？"
"2068","美屡","只卖艺，不卖身。"
"2069","美屡","你问我为什么不抓个宝宝？没尾巴的不想抓，有尾巴的又想割。"
"2070","美屡","哀木涕很强力？你不能说这么不要脸的话。"
"2071","美屡","错的不是你，是世界。"
"2072","术虱","我来组成头部。"
"2073","术虱","我这朵娇花，就被你们摧残了100遍啊100遍……"
"2074","术虱","我还很年轻！"
"2075","术虱","太没天理了，我这朵娇花难道要无数次的摧残中成长吗？"
"2076","五火球教主","咱家这就让你感受一下，五火球儿的威力。"
"2077","五火球教主","你也想要加入咱们五火球儿神教吗？"
"2078","五火球教主","只要你肯干，石头~都能磨成蛋。"
"2079","五火球教主","五个火球代表了绝对强大和纯洁无比的神秘力量。"
"2080","方砖","大小姐威武，大小姐荡漾！"
"2081","方砖","武器战没前途的。"
"2082","方砖","大小姐你个傻娘们，你也就到这了。"
"2083","方砖","大小姐的心胸有如大波...哦，不，大海一样宽广。"
"2084","大小姐","骑士什么的，最讨厌了。"
"2085","大小姐","要么去战，要么自行了断。"
"2086","大小姐","方砖你个老家伙，还不快做饭去。"
"2087","大小姐","阿男，阿男，一个武器战。方砖，方砖，你个老混蛋。"
"2088","暗夜男","小的该死啊！"
"2089","暗夜男","代王，小的该死啊~"
"2090","暗夜男","我只想保护好大小姐。"
"2091","暗夜男","自从吃了方砖叔的面包，我个子高了，身体壮了，考试还考了100分呢。"
"2092","地中海","（地中海语）MLGB"
"2093","地中海","（地中海语）叽里呱啦，咕噜咕噜。"
"2094","地中海","（地中海语）嘎嘎咕咕嘎嘎。"
"2095","凯恩血蹄","加尔鲁什不配统治部落。"
"2096","凯恩血蹄","先祖们的灵魂和荣耀与我同在。"
"2097","凯恩血蹄","经常有人会这么问我，嘿，你还怀念耐久光环吗？"
"2098","凯恩血蹄","我这么回答他人的疑问，还记得当年飘在天空那只银白色的手吗？"
"2099","乌瑟尔","今天，我是痛苦使者乌瑟尔。"
"2100","乌瑟尔","圣光在上。"
"2101","乌瑟尔","在我们那个年代，有一种天赋特别受欢迎，834。"
"2102","乌瑟尔","我们那会只能升到10级，你们现在几级了？100级？比100级还高？唉，现在的年轻人啊。"
"2103","玛法里奥","保护大地是我的职责！"
