"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"14","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","恭喜！您获得抽奖奖励",,"",
"69","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","捎口信",,"","1"
"96","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我要查看领袖弟子能力",,"",
"97","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我要挑战领袖弟子",,"",
"98","","","","","","","1","40","155","","","","","","","","","",,,,,,,,,,,,,,,,"4","我要竞选",,"",
"99","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我要投票",,"",
"100","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我要刷新领袖弟子能力",,"",
"136","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","我要参加智慧试炼",,"",
"137","264","265","266","10001","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"7","我想了解智慧试炼比赛规则","智慧试炼介绍","",
"166","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冠军试炼",,"",
"167","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我想查询一下自己的活动积分",,"",
"168","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","活动积分兑换",,"",
"171","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","我要挑战",,"",
"264","10002","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"7","智慧试炼1规则","智慧试炼1规则","",
"265","267","268","10002","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"7","智慧试炼2规则","智慧试炼2规则","",
"266","10002","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"7","智慧试炼3规则","智慧试炼3规则","",
"267","10003","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","答错怎么办？","智慧试炼3规则","",
"268","10003","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","道具怎么用？","智慧试炼3规则","",
"355","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰封王座",,"",
"725","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","助战NPC招募",,"",
"1469","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","回到副本",,"",
"1483","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第1关",,"",
"1484","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第2关",,"","1"
"1485","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第3关",,"","1"
"1486","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第4关",,"","1"
"1487","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第5关",,"",
"1488","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第6关",,"","1"
"1489","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第7关",,"","1"
"1490","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第8关",,"","1"
"1491","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第9关",,"","1"
"1492","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第10关",,"",
"1493","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第11关",,"","1"
"1494","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第12关",,"","1"
"1495","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第13关",,"","1"
"1496","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第14关",,"","1"
