"id","服务1","服务2","服务3","服务4","服务5","服务6","服务7","服务8","服务9","服务10"
"13100","3000","3010","100022","100211",,,,,,
"13101","3001","3011","100023","100212",,,,,,
"13102","3002","3012","100024","100213",,,,,,
"13103","3003","3013","100025","100214",,,,,,
"13104","3004","3014","100026","100215",,,,,,
"13105","3005","3015","100027","100216",,,,,,
"13106","3016","3019","100029","100214",,,,,,
"13107","3017","3020","100030","100215",,,,,,
"13108","3018","3021","100031","100216",,,,,,
"99998","999999",,,,,,,,,
"99999","999999",,,,,,,,,
"160801","100012",,,,,,,,,
"161301","100017","100016","","","","","","","",""
"161302","100601","","","","","","","","",""
"161303","900015","900016","","","","","","","",""
"161304","","","","","","","","","",""
"161402","100018","100185","","","","","","","",""
"161501","4000","4002","4003",,,,,,,
"161502","30000",,,,,,,,,
"161503","30001","","",,,,,,,
"161504","30002",,,,,,,,,
"161505","30003","100703",,,,,,,,
"161506","30004",,,,,,,,,
"161510","100001","100013","",,,,,,,
"161511","100400","100209","","",,,,,,
"161512","900050","900051","900052",,,,,,,
"161513","100600",,,,,,,,,
"161515","166","100602","",,,,,,,
"161516","100800","100801",,,,,,,,
"161518","910000","910001","910005",,,,,,,
"161519","910010","910011","910015",,,,,,,
"161520","910020","910021","910025",,,,,,,
"161521","355","900053",,,,,,,,
"161522","100704",,,,,,,,,
"161525","910100","910101","910102","910103","910104","910105",,,,
"161702","171",,,,,,,,,
"161803","171",,,,,,,,,
"161902","171",,,,,,,,,
"162002","171",,,,,,,,,
"162102","171",,,,,,,,,
"162202","171",,,,,,,,,
"161701","900054","","","","","","",,,
"161801","900054","","","","","","",,,
"161901","900054","","","","","","",,,
"162001","900054","","","","","","",,,
"162101","900054","","","","","","",,,
"162201","900054","","","","","","",,,
"169001","900054","","","","","","",,,
"169101","900054","","","","","","",,,
"169201","900054","","","","","","",,,
"165601","910002","910003","910004",,,,,,,
"165701","910012","910013","910014",,,,,,,
"165801","910022","910023","910024",,,,,,,
"169002","171",,,,,,,,,
"169102","171",,,,,,,,,
"169202","171",,,,,,,,,
"170000","100010",,,,,,,,,
"170001","100010",,,,,,,,,
"170002","100010",,,,,,,,,
"170003","100010",,,,,,,,,
"170004","100010",,,,,,,,,
"170005","100010","",,,,,,,,
"170006","100010","",,,,,,,,
"170007","100010","",,,,,,,,
"170008","100010","",,,,,,,,
"170009","100010","",,,,,,,,
"170010","100010","",,,,,,,,
"170051","4005",,,,,,,,,
"170052","4005",,,,,,,,,
"170053","4005",,,,,,,,,
"170054","4005",,,,,,,,,
"170055","4005",,,,,,,,,
"170056","4005",,,,,,,,,
"170057","4005",,,,,,,,,
"170058","4005",,,,,,,,,
"170059","4005",,,,,,,,,
"170060","4005",,,,,,,,,
"170061","4005",,,,,,,,,
"170062","4005",,,,,,,,,
"170063","4005",,,,,,,,,
"170064","4005",,,,,,,,,
"170065","4005",,,,,,,,,
"170066","4005","","","","","","","","",""
"170067","4005","","","","","","","","",""
"170068","4005","","","","","","","","",""
"170069","4005","","","","","","","","",""
"170070","4005","","","","","","","","",""
"170071","4006","","","","","","","","",""
"170072","4006","","","","","","","","",""
"170073","4006","","","","","","","","",""
"170074","4006","","","","","","","","",""
"170075","4006",,,,,,,,,
"170076","4006",,,,,,,,,
"170077","4006",,,,,,,,,
"170078","4006",,,,,,,,,
"170079","4006",,,,,,,,,
"170080","4006",,,,,,,,,
"170081","4006",,,,,,,,,
"170082","4006",,,,,,,,,
"170083","4006",,,,,,,,,
"170084","4006",,,,,,,,,
"170085","4006",,,,,,,,,
"170086","4006",,,,,,,,,
"170087","4006",,,,,,,,,
"170088","4006",,,,,,,,,
"170089","4006",,,,,,,,,
