"id","能力名称","系数","参数","公式"
"1","角色等级能力","4.2","cons_value;iq_value;str_value;endu_value;agi_value","xs*(cons_value+iq_value+str_value+endu_value+agi_value)"
"2","装备一级属性","4.2","cons_value;iq_value;str_value;endu_value;agi_value","xs*(cons_value+iq_value+str_value+endu_value+agi_value)"
"3","装备特效","1.4","EquipLv","xs*EquipLv"
"4","装备特技","2.8","EquipLv","xs*EquipLv"
"5","每个宝石","15","GemLv","xs*GemLv"
"6","职业技能","4","SkillLv","xs*SkillLv"
"7","公会技能","5","SkillLv;MsLv","xs*(SkillLv+MsLv)"
"8","公会修炼","20","XlLv","xs*XlLv"
"9","宠物一级属性","0","cons_value;iq_value;str_value;endu_value;agi_value","xs*(cons_value+iq_value+str_value+endu_value+agi_value)"
"10","宠物低级技能","80","SkillLv","xs*SkillLv"
"11","宠物高级技能","200","SkillLv","xs*SkillLv"
"12","宠物成长","5000","Cur;Low","xs(Cur-Low)/1000"
