"任务ID","任务等级min","目的NPC","前置小图标","任务名称","任务追踪","任务描述","奖励文字","经验奖励","金钱奖励","备用奖励","物品奖励1","物品奖励2","物品奖励3","声望奖励","任务等级max"
"1030000","20","161501",,"日常副本","<T t=""前往达拉然""c=""ff5f3e22""></T><T t=""莱厦特安哉"" npcid=""161501"" c=""ff00ff00""></T><T t=""处接取日常副本任务。"" c=""ff5f3e22""></T>","<T t=""【日常副本】"" c=""ffffff33""></T><T t=""完成日常副本奖励十分丰厚"" c=""ffffff33""></T><B></B><T t=""    大陆陷入动荡，各种妖魔鬼怪肆虐八方，莱厦特安哉号召大家团结起来捕捉这些妖魔鬼怪祸乱人间"" c=""ff12c4ff""></T><T t=""莱厦特安哉"" c=""ffffff33""></T><T t=""处领取任务，为世界和平尽到自己的一份力量。"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"1040000","25","161510",,"考古任务","<T t=""前往达拉然"" c=""ff5f3e22""></T><T t=""旅店老板"" npcid=""161510"" c=""ff00ff00""></T><T t=""处接取考古任务。"" c=""ff5f3e22""></T>","<T t=""【考古任务】"" c=""ffffff33""></T><T t=""每天可以领取15次"" c=""ffffff33""></T><B></B><T t=""    大陆上存在许多的宝藏，而据传兄弟会盗匪身上藏有这些宝藏的地图，真正的勇士就应该在打击黑恶势力的同时勇于探索，听说旅店老板那里有些线索，还在等什么马上出发吧！"" c=""ff12c4ff""></T><T t=""旅店老板"" c=""ffffff33""></T><T t=""处领取任务，迈出探索世界的一大步吧。"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500001","10","0",,"测试任务","<T t=""测试任务"" c=""ff5f3e22""></T>","<T t=""测试任务"" c=""ff5f3e22""></T>",,"0","0","0","0","0","0","0","155"
"500101","35","160807",,"引导-加入公会","<T t=""创建或者加入"" c=""ff5f3e22""></T><T t=""公会"" npcid=""160807"" c=""ff00ff00""></T>。","<T t=""创建或者加入一个"" c=""ff12c4ff""></T><T t=""公会"" npcid=""160807""c=""ffffff33""></T><T t=""，然后去找菊爆大队的会长劣人。"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500201","40","161609",,"引导-人物加点","<T t=""傻馒"" npcid=""161609"" c=""ff00ff00""></T><T t=""好像在找你"" c=""ff5f3e22""></T>","<T t=""傻馒"" npcid=""161609"" c=""ffffff33""></T><T t=""好像在找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500301","32","161504",,"引导-装备打造","<T t=""向"" c=""ff5f3e22""></T><T t=""武器店老板"" npcid=""161504"" c=""ff00ff00""></T><T t=""打听装备打造"" c=""ff5f3e22""></T>","<T t=""向"" c=""ff12c4ff""></T><T t=""武器店老板"" npcid=""161504"" c=""ffffff33""></T><T t=""打听装备制造"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500501","33","160808",,"引导-宝石镶嵌","<T t=""小德"" npcid=""160808"" c=""ff00ff00""></T><T t=""有事找你"" c=""ff5f3e22""></T>","<T t=""小德"" npcid=""160808"" c=""ffffff33""></T><T t=""有事找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500602","20","161507",,"引导-日常副本","<T t=""莫迪伦"" npcid=""161507"" c=""ff00ff00""></T><T t=""有事找你"" c=""ff5f3e22""></T>","<T t=""莫迪伦"" npcid=""161507"" c=""ffffff33""></T><T t=""有事找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500701","40","161605",,"引导-角斗场","<T t=""索尔"" npcid=""161605"" c=""ff00ff00""></T><T t=""有事找你"" c=""ff5f3e22""></T>","<T t=""索尔"" npcid=""161605"" c=""ffffff33""></T><T t=""有事找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"500801","25","161610",,"引导-考古","<T t=""女潜行者"" npcid=""161610"" c=""ff00ff00""></T><T t=""有事找你"" c=""ff5f3e22""></T>","<T t=""女潜行者"" npcid=""161610"" c=""ffffff33""></T><T t=""有事找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"501001","40","161507",,"引导-冰封王座","<T t=""莫迪伦"" npcid=""161507"" c=""ff00ff00""></T><T t=""有事找你"" c=""ff5f3e22""></T>","<T t=""莫迪伦"" npcid=""161507"" c=""ffffff33""></T><T t=""有事找你"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
"501101","30","161511",,"引导-精英副本","<T t=""与"" c=""ff5f3e22""></T><T t=""副本管理员"" npcid=""161501"" c=""ff00ff00""></T><T t=""交谈"" c=""ff5f3e22""></T>","<T t=""去"" c=""ff12c4ff""></T><T t=""副本管理员"" npcid=""161501"" c=""ffffff33""></T><T t=""那里了解日常副本。"" c=""ff12c4ff""></T>",,"0","0","0","0","0","0","0","155"
