"ID","任务面板名称","任务名称","任务目标","任务描述","追踪显示任务名","追踪描述","任务编号"
"1000","0","0","<T t=""任务已失败""></T>","<T t=""任务已失败，请在任务栏放弃任务，再重新领取。"" c=""ff12c4ff""></T>","0","<T t=""任务已失败""></T>","0"
"701001","冠军试炼","冠军试炼","<T t=""请速去""></T><T t=""$MapName$的"" ></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$"" npcid=""$npcid$""></G><T t=""领取任务。""></T>","<T t=""欢迎参加冠军试炼，请速去"" c=""ff12c4ff""></T><T t=""$NPCName$"" c=""ffff3333""></T><T t=""领取任务。"" c=""ff12c4ff""></T>","冠军试炼","<T t=""找到""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$"" npcid=""$npcid$""></G>","1"
"701002","冠军试炼","冠军试炼","<T t=""请速去""></T><T t=""$MapName$的"" ></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$"" npcid=""$npcid$""></G><T t=""处挑战闯关。""></T>","<T t=""你已通过$Number1$关，当前第$Number2$关，请速去"" c=""ff12c4ff""></T><T t=""$NPCName$"" c=""ffff3333""></T><T t=""处挑战闯关。"" c=""ff12c4ff""></T>","冠军试炼","<T t=""挑战""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$"" npcid=""$npcid$""></G><T t=""($Number2$/9)""></T>","1"
"905001","哀嚎洞穴001","哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905002","哀嚎洞穴002","哀嚎洞穴002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905003","哀嚎洞穴003","哀嚎洞穴003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905004","哀嚎洞穴004","哀嚎洞穴004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905005","哀嚎洞穴005","哀嚎洞穴005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905006","哀嚎洞穴006","哀嚎洞穴006","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴006开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905007","哀嚎洞穴007","哀嚎洞穴007","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴007开始战斗】"" c=""ffffff33""></T>","哀嚎洞穴-哀嚎洞穴001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
