"服务id","副本id","策划备注","step","类型","参数","数量","战斗id","高奖奖励id","高奖奖励次数","普通奖励id","普通奖励次数","NPC语言","匹配奖励方式","分级奖励","奖励id"
"100051","1","巨魔之都1","1","5","battleid=2479","1","2479","","1","11021","20","160203","2","40,45,11001;46,55,11001;56,155,11001","10001"
"100052","1","巨魔之都2","2","5","battleid=2480","1","2480","","1","11021","20","160204","2","40,45,11001;46,55,11001;56,155,11001","10001"
"100053","1","巨魔之都3","3","5","battleid=2481","1","2481","","1","11021","20","160205","2","40,45,11001;46,55,11001;56,155,11001","10001"
"100054","1","巨魔之都4","4","5","battleid=2482","1","2482","","1","11021","20","160206","2","40,45,11001;46,55,11001;56,155,11001","10001"
"100055","1","巨魔之都5","5","5","battleid=2483","1","2483","","1","11021","20","160207","2","40,45,11005;46,55,11005;56,155,11005","10001"
"100061","2","诅咒之塔1","1","5","battleid=2486","1","2486","","1","11021","20","160203","2","60,100,11003;101,155,11003","10001"
"100062","2","诅咒之塔2","2","5","battleid=2487","1","2487","","1","11021","20","160204","2","60,100,11003;101,155,11003","10001"
"100063","2","诅咒之塔3","3","5","battleid=2488","1","2488","","1","11021","20","160205","2","60,100,11003;101,155,11003","10001"
"100064","2","诅咒之塔4","4","5","battleid=2489","1","2489","","1","11021","20","160206","2","60,100,11003;101,155,11003","10001"
"100065","2","诅咒之塔5","5","5","battleid=2490","1","2490","","1","11021","20","160207","2","60,100,11007;101,155,11007","10001"
"100071","3","巨魔之都1(精英)","1","5","battleid=2493","1","2493","","1","11022","20","160203","2","40,45,11002;46,55,11002;56,155,11002","10001"
"100072","3","巨魔之都2(精英)","2","5","battleid=2494","1","2494","","1","11022","20","160204","2","40,45,11002;46,55,11002;56,155,11002","10001"
"100073","3","巨魔之都3(精英)","3","5","battleid=2495","1","2495","","1","11022","20","160205","2","40,45,11002;46,55,11002;56,155,11002","10001"
"100074","3","巨魔之都4(精英)","4","5","battleid=2496","1","2496","","1","11022","20","160206","2","40,45,11002;46,55,11002;56,155,11002","10001"
"100075","3","巨魔之都5(精英)","5","5","battleid=2497","1","2497","","1","11022","20","160207","2","40,45,11006;46,55,11006;56,155,11006","10001"
"100081","4","诅咒之塔1(精英)","1","5","battleid=2500","1","2500","","1","11022","20","160203","2","60,100,11004;101,155,11004","10001"
"100082","4","诅咒之塔2(精英)","2","5","battleid=2501","1","2501","","1","11022","20","160204","2","60,100,11004;101,155,11004","10001"
"100083","4","诅咒之塔3(精英)","3","5","battleid=2502","1","2502","","1","11022","20","160205","2","60,100,11004;101,155,11004","10001"
"100084","4","诅咒之塔4(精英)","4","5","battleid=2503","1","2503","","1","11022","20","160206","2","60,100,11004;101,155,11004","10001"
"100085","4","诅咒之塔5(精英)","5","5","battleid=2504","1","2504","","1","11022","20","160207","2","60,100,11008;101,155,11008","10001"
