"id","名字","传送左上角x","传送左上角y","传送右下角x","传送右下角y","地图类型","是否显示在世界地图上","等级下限","等级上限","从属暗雷","从属暗雷名","暗雷按钮图片普通","暗雷按钮图片按下","暗雷按钮图片灰色","怪物造型","地图怪物","小地图缩放比例","小地图资源路径","小地图大小"
"1601","溶洞一层","1","1","90","90","3","true","1","14","1601,1624,1625,1626,1627,1628,1629,1630,1631,1602,1632,1633,1634,1635,1636,1603,1637,1638,1639,1640,1641,1604,1642,1643,1644,1645,1646,1647,1648,1649","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010112","22000","0.13","set:xiaoaihao image:xiaoaihao","900;514"
"1624","溶洞二层","1","1","90","90","3","false","15","24","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010113","22003,22001","0.13","set:xiaoaihao image:xiaoaihao","900;514"
"1625","溶洞三层","1","1","90","90","3","false","25","29","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010114","22005,22004,22002","0.13","set:xiaoaihao image:xiaoaihao","900;514"
"1626","废矿一层","1","1","90","90","3","false","30","32","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010116","22006","0.13","set:xiaoxuese image:xiaoxuese","754;540"
"1627","废矿二层","1","1","90","90","3","false","33","35","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010117","22009,22007","0.13","set:xiaoxuese image:xiaoxuese","754;540"
"1628","废矿三层","1","1","90","90","3","false","36","39","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010118","22011,22010,22008","0.13","set:xiaoxuese image:xiaoxuese","754;540"
"1629","银堡一层","1","1","90","90","3","false","40","42","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010120","22012","0.13","set:xiaoaihao image:xiaoaihao","900;514"
"1630","银堡二层","1","1","90","90","3","false","43","45","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010121","22015,22013","0.13","set:xiaoaihao image:xiaoaihao","900;514"
"1631","银堡三层","1","1","90","90","3","false","46","49","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010122","22017,22016,22014","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1602","学院一层","1","1","90","90","3","false","50","52","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010124","22018","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1632","学院二层","1","1","90","90","3","false","53","55","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010125","22021,22019","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1633","学院三层","1","1","90","90","3","false","56","59","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010126","22023,22022,22020","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1634","教堂一层","1","1","90","90","3","false","60","62","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010128","22024","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1635","教堂二层","1","1","90","90","3","false","63","65","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010129","22027,22025","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1636","教堂三层","1","1","90","90","3","false","66","69","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010130","22029,22028,22026","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1603","埋股圣地一层","1","1","90","90","3","false","70","71","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010133","22030","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1637","埋股圣地二层","1","1","90","90","3","false","72","73","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010134","22033,22031","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1638","埋股圣地三层","1","1","90","90","3","false","74","75","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010135","22035,22034,22032","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1639","遗迹一层","1","1","90","90","3","false","76","77","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010137","22036","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1640","遗迹二层","1","1","90","90","3","false","78","79","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010138","22039,22037","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1641","遗迹三层","1","1","90","90","3","false","80","81","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010139","22041,22040,22038","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1604","祭坛一层","1","1","90","90","3","false","82","83","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010141","22042","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1642","祭坛二层","1","1","90","90","3","false","84","85","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010142","22045,22043","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1643","祭坛三层","1","1","90","90","3","false","86","87","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010143","22047,22046,22044","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1644","黑岩深渊一层","1","1","90","90","3","false","88","89","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010145","22048","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1645","黑岩深渊二层","1","1","90","90","3","false","90","91","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010146","22051,22049","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1646","黑岩深渊三层","1","1","90","90","3","false","92","93","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010147","22053,22052,22050","0.2","set:xiaoxuese image:xiaoxuese","754;540"
"1647","雾都一层","1","1","90","90","3","false","94","95","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010149","22054","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1648","雾都二层","1","1","90","90","3","false","96","97","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010150","22057,22055","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1649","雾都三层","1","1","90","90","3","false","98","99","0","黑岩之祸","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","1010151","22059,22058,22056","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1605","月光海岸","50","73","60","90","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
"1606","影月城","28","24","38","47","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
"1607","虚空要塞","40","36","45","45","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoaihao image:xiaoaihao","900;514"
"1608","十字路口","32","53","49","71","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
"1609","银松林","47","56","55","74","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoyinsong image:xiaoyinsong","900;470"
"1610","暮光林","50","73","60","90","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
