"服务id","副本id","策划备注","step","战斗id","奖励id","道具奖励id","奖励次数","援助奖励id","援助奖励次数","NPC语言"
"100401","100","溶洞-1","1","2701","5570","5580","1","11021","200","160203"
"100402","100","溶洞-2","2","2702","5570","5580","1","11021","200","160204"
"100403","100","溶洞-3","3","2703","5570","5580","1","11021","200","160205"
"100404","100","溶洞-4","4","2704","5570","5580","1","11021","200","160206"
"100405","100","溶洞-5","5","2705","5570","5580","1","11021","200","160207"
"100406","101","废矿-1","1","2706","5570","5580","1","11021","200","166011"
"100407","101","废矿-2","2","2707","5570","5580","1","11021","200","166012"
"100408","101","废矿-3","3","2708","5570","5580","1","11021","200","166013"
"100409","101","废矿-4","4","2709","5570","5580","1","11021","200","166014"
"100410","101","废矿-5","5","2710","5570","5500","1","11021","200","166015"
"100411","102","银堡-1","1","2711","5570","5580","1","11021","200","166016"
"100412","102","银堡-2","2","2712","5570","5580","1","11021","200","166017"
"100413","102","银堡-3","3","2713","5570","5580","1","11021","200","166018"
"100414","102","银堡-4","4","2714","5570","5580","1","11021","200","166019"
"100415","102","银堡-5","5","2715","5570","5510","1","11021","200","166020"
"100416","103","荒泽-1","1","2716","5570","5580","1","11021","200","166021"
"100417","103","荒泽-2","2","2717","5570","5580","1","11021","200","166022"
"100418","103","荒泽-3","3","2718","5570","5580","1","11021","200","166023"
"100419","103","荒泽-4","4","2719","5570","5580","1","11021","200","166024"
"100420","103","荒泽-5","5","2720","5570","5520","1","11021","200","166025"
"100421","104","教堂-1","1","2721","5570","5580","1","11021","200","166026"
"100422","104","教堂-2","2","2722","5570","5580","1","11021","200","166027"
"100423","104","教堂-3","3","2723","5570","5580","1","11021","200","166028"
"100424","104","教堂-4","4","2724","5570","5580","1","11021","200","166029"
"100426","105","埋骨圣地-1","1","2726","5570","5580","1","11021","200","166031"
"100427","105","埋骨圣地-2","2","2727","5570","5580","1","11021","200","166032"
"100428","105","埋骨圣地-3","3","2728","5570","5580","1","11021","200","166033"
"100429","105","埋骨圣地-4","4","2729","5570","5580","1","11021","200","166034"
"100430","105","埋骨圣地-5","5","2730","5570","5540","1","11021","200","166035"
"100431","106","遗迹-1","1","2731","5570","5580","1","11021","200","166036"
"100432","106","遗迹-2","2","2732","5570","5580","1","11021","200","166037"
"100433","106","遗迹-3","3","2733","5570","5580","1","11021","200","166038"
"100434","106","遗迹-4","4","2734","5570","5580","1","11021","200","166039"
"100435","106","遗迹-5","5","2735","5570","5550","1","11021","200","166040"
"100436","107","祭坛-1","1","2736","5570","5580","1","11021","200","166041"
"100437","107","祭坛-2","2","2737","5570","5580","1","11021","200","166042"
"100438","107","祭坛-3","3","2738","5570","5580","1","11021","200","166043"
"100439","107","祭坛-4","4","2739","5570","5580","1","11021","200","166044"
"100440","107","祭坛-5","5","2740","5570","5560","1","11021","200","166045"
"100441","108","深渊-1","1","2741","5570","5580","1","11021","200","166046"
"100442","108","深渊-2","2","2742","5570","5580","1","11021","200","166047"
"100443","108","深渊-3","3","2743","5570","5580","1","11021","200","166048"
"100444","108","深渊-4","4","2744","5570","5580","1","11021","200","166049"
"100445","108","深渊-5","5","2745","5570","5560","1","11021","200","166050"
"100446","109","雾都-1","1","2746","5570","5580","1","11021","200","166051"
"100447","109","雾都-2","2","2747","5570","5580","1","11021","200","166052"
"100448","109","雾都-3","3","2748","5570","5580","1","11021","200","166053"
"100449","109","雾都-4","4","2749","5570","5580","1","11021","200","166054"
"100450","109","雾都-5","5","2750","5570","5560","1","11021","200","166055"
"100451","110","异度学院1","1","2751","","","1","","","160203"
"100452","110","异度学院2","2","2752","","","1","","","160204"
"100453","110","异度学院3","3","2753","","","1","","","160205"
"100454","110","异度学院4","4","2754","","","1","","","160206"
"100455","110","异度学院5","5","2755","11001","11403","1","11021","200","160207"
"100456","111","邪兽堡垒1","1","2756","","","1","","","160203"
"100457","111","邪兽堡垒2","2","2757","","","1","","","160204"
"100458","111","邪兽堡垒3","3","2758","","","1","","","160205"
"100459","111","邪兽堡垒4","4","2759","","","1","","","160206"
"100460","111","邪兽堡垒5","5","2760","11001","11403","1","11021","200","160207"
"100461","112","背叛之手1","1","2761","","","1","","","160203"
"100462","112","背叛之手2","2","2762","","","1","","","160204"
"100463","112","背叛之手3","3","2763","","","1","","","160205"
"100464","112","背叛之手4","4","2764","","","1","","","160206"
"100465","112","背叛之手5","5","2765","11001","11403","1","11021","200","160207"
"100466","113","娜迦之谋1","1","2766","","","1","","","160203"
"100467","113","娜迦之谋2","2","2767","","","1","","","160204"
"100468","113","娜迦之谋3","3","2768","","","1","","","160205"
"100469","113","娜迦之谋4","4","2769","","","1","","","160206"
"100470","113","娜迦之谋5","5","2770","11001","11403","1","11021","200","160207"
"100471","114","悲伤墓地1","1","2771","","","1","","","160203"
"100472","114","悲伤墓地2","2","2772","","","1","","","160204"
"100473","114","悲伤墓地3","3","2773","","","1","","","160205"
"100474","114","悲伤墓地4","4","2774","","","1","","","160206"
"100475","114","悲伤墓地5","5","2775","11001","11403","1","11021","200","160207"
"100476","115","纳鲁之城1","1","2776","","","1","","","160203"
"100477","115","纳鲁之城2","2","2777","","","1","","","160204"
"100478","115","纳鲁之城3","3","2778","","","1","","","160205"
"100479","115","纳鲁之城4","4","2779","","","1","","","160206"
"100480","115","纳鲁之城5","5","2780","11001","11403","1","11021","200","160207"
"100481","116","死亡之歌1","1","2781","","","1","","","160203"
"100482","116","死亡之歌2","2","2782","","","1","","","160204"
"100483","116","死亡之歌3","3","2783","","","1","","","160205"
"100484","116","死亡之歌4","4","2784","","","1","","","160206"
"100485","116","死亡之歌5","5","2785","11001","11403","1","11021","200","160207"
"100486","117","粉碎阴谋1","1","2786","","","1","","","160203"
"100487","117","粉碎阴谋2","2","2787","","","1","","","160204"
"100488","117","粉碎阴谋3","3","2788","","","1","","","160205"
"100489","117","粉碎阴谋4","4","2789","","","1","","","160206"
"100490","117","粉碎阴谋5","5","2790","11001","11403","1","11021","200","160207"
"100491","118","时空之路1","1","2791","","","1","","","160203"
"100492","118","时空之路2","2","2792","","","1","","","160204"
"100493","118","时空之路3","3","2793","","","1","","","160205"
"100494","118","时空之路4","4","2794","","","1","","","160206"
"100495","118","时空之路5","5","2795","11001","11403","1","11021","200","160207"
"100496","119","英雄平台1","1","2796","","","1","","","160203"
"100497","119","英雄平台2","2","2797","","","1","","","160204"
"100498","119","英雄平台3","3","2798","","","1","","","160205"
"100499","119","英雄平台4","4","2799","","","1","","","160206"
"100500","119","英雄平台5","5","2800","11001","11403","1","11021","200","160207"
