"ID","任务类型","任务栏任务名称","任务名称","任务目的","任务描述","追踪显示任务名","备注","追踪描述"
"3010001","","","",,,"溶洞-1","毒牙克德拉","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010002","","","",,,"溶洞-2","腐蚀者布莱恩","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010003","","","",,,"溶洞-3","大冏龟","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010004","","","",,,"溶洞-4","永生者沃尔丹","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010005","","","",,,"溶洞-5","毒牙之王瑟芬","<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010006","","","",,,"废矿-1","食人魔矿工","<T t=""寂静的矿坑内满溢着死亡的味道，前方有个影子晃动去看看是什么东西！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010007","","","",,,"废矿-2","食人魔工头","<T t=""好像有什么东西藏起来了，去看看这个胆小鬼是谁！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010008","","","",,,"废矿-3","鱼人曲奇","<T t=""没想到这群亡命之徒盘踞的场所，成分如此复杂，什么种族都有啊！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010009","","","",,,"废矿-4","重拳男士","<T t=""前方一个强壮的身影，若隐若现看起来是个强大的家伙！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010010","","","",,,"废矿-5","范克里斯","<T t=""不知道这群海盗能够有多少财宝！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010011","","","",,,"银堡-1","洗碗莱恩","<T t=""可悲的莱恩依旧守卫着他的城堡，可惜他不知道自己已经成了守门人。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010012","","","",,,"银堡-2","狼王杜雷斯","<T t=""上古的魔兽遵守契约被召唤过来成了邪恶法师的私人宠物。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
