"id","任务id","策划备注","任务类型","mapid","npcid","step","出现几率","LefttopX","LefttopY","结束任务","装饰npc1","坐标x1","坐标y1","装饰npc2","坐标x2","坐标y2","装饰npc3","坐标x3","坐标y3"
"2001","3010001","溶洞-1","100","1901","180601","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2002","3010002","溶洞-2","100","1901","180602","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2003","3010003","溶洞-3","100","1901","180603","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2004","3010004","溶洞-4","100","1901","180604","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2005","3010005","溶洞-5","100","1901","180605","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2006","3010006","废矿-1","101","1902","180606","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2007","3010007","废矿-2","101","1902","180607","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2008","3010008","废矿-3","101","1902","180608","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2009","3010009","废矿-4","101","1902","180609","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2010","3010010","废矿-5","101","1902","180610","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2011","3010011","银堡-1","102","1903","180611","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2012","3010012","银堡-2","102","1903","180612","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2013","3010013","银堡-3","102","1903","180613","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2014","3010014","银堡-4","102","1903","180614","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2015","3010015","银堡-5","102","1903","180615","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2016","3010016","荒泽-1","103","1904","180616","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2017","3010017","荒泽-2","103","1904","180617","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2018","3010018","荒泽-3","103","1904","180618","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2019","3010019","荒泽-4","103","1904","180619","4","","72","35","0","0","70","24","0","85","34","0","0","0"
