"ID","备注","等级要求","需求道具1","需求道具1数量","需求道具2","需求道具2数量","需求道具3","需求道具3数量","需求道具4","需求道具4数量","需求道具5","需求道具5数量","合成产物","合成消耗银币","材料不足提示","物品合成成功","合成产物1","合成产物1权重","合成产物2","合成产物2权重","合成产物3","合成产物3权重","合成产物4","合成产物4权重","合成产物5","合成产物5权重","合成产物6","合成产物6权重","合成产物7","合成产物7权重","合成产物8","合成产物8权重","合成产物9","合成产物9权重","合成产物10","合成产物10权重"
"1","高级藏宝图","1","331350","1","331351","1","331352","1","331353","1","331354","1","331301","0","150205","150206","331301","100","","","","","","","","","","","","","","","","","",""
"2","光环卷轴","1","360000","5","","","","","","","","","35010,35011","0","160037","160038","360001","100","360002","100","360003","100","360004","100","360005","100","360006","100","360007","100","360008","100","360009","100","360010","100"
,"","","","","","","","","","","","",,"",,,,,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,,,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,"","","","","","","","","","","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,"","","","","","","","",,"","","",,"",,,"",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,
