"使用道具类id","使用道具组","职业","等级段min","等级段max","地图id","x坐标","y坐标","偏移范围","是否随机坐标","道具id","使用道具后喊话"
"1","1","0","15","29","1605","100","100","10","1","50350",
"2","1","0","30","39","1606","100","100","10","1","50351",
"3","1","0","40","49","1607","100","100","10","1","50352",
"4","1","0","50","59","1608","100","100","10","1","50353",
"5","1","0","60","69","1609","100","100","10","1","50354",
"6","1","0","70","155","1610","100","100","10","1","50355",
"7","2","0","15","29","1605","100","100","10","1","50356",
"8","2","0","30","39","1606","100","100","10","1","50357",
"9","2","0","40","49","1607","100","100","10","1","50358",
"10","2","0","50","59","1608","100","100","10","1","50359",
"11","2","0","60","69","1609","100","100","10","1","50360",
"12","2","0","70","155","1610","100","100","10","1","50361",
"13","3","0","15","29","1605","100","100","10","1","50362","296"
"14","3","0","30","39","1606","100","100","10","1","50363","296"
"15","3","0","40","49","1607","100","100","10","1","50364","296"
"16","3","0","50","59","1608","100","100","10","1","50365","296"
"17","3","0","60","69","1609","100","100","10","1","50366","296"
"18","3","0","70","155","1610","100","100","10","1","50367","296"
"19","4","0","15","29","1605","100","100","10","1","50368","296"
"20","4","0","30","39","1606","100","100","10","1","50369","296"
"21","4","0","40","49","1607","100","100","10","1","50370","296"
"22","4","0","50","59","1608","100","100","10","1","50371","296"
"23","4","0","60","69","1609","100","100","10","1","50372","296"
"24","4","0","70","155","1610","100","100","10","1","50373","296"
