"收集物品类id","收集物品组","职业","地图备注","等级段min","等级段max","地图id","怪物id","物品id","物品数量"
"1","1","11","溶洞二层","15","24","1624@100","22003","50374","1"
"2","1","11","溶洞三层","25","29","1625@100","22005","50375","1"
"3","1","11","废矿一层","30","32","1626@100","22006","50376","1"
"4","1","11","废矿二层","33","35","1627@100","22009","50377","1"
"5","1","11","废矿三层","36","39","1628@100","22011","50378","1"
"6","1","11","银堡一层","40","42","1629@100","22012","50379","1"
"7","1","11","银堡二层","43","45","1630@100","22015","50380","1"
"8","1","11","银堡三层","46","49","1631@100","22017","50381","1"
"9","1","11","荒泽一层","50","52","1602@100","22018","50382","1"
"10","1","11","荒泽二层","53","55","1632@100","22021","50383","1"
"11","1","11","荒泽三层","56","59","1633@100","22023","50384","1"
"12","1","11","教堂一层","60","62","1634@100","22024","50385","1"
"13","1","11","教堂二层","63","65","1635@100","22027","50386","1"
"14","1","11","教堂三层","66","69","1636@100","22029","50387","1"
"15","1","11","埋股圣地一层","70","71","1603@100","22030","50388","1"
"16","1","11","埋股圣地二层","72","73","1637@100","22033","50389","1"
"17","1","11","埋股圣地三层","74","75","1638@100","22035","50390","1"
"18","1","11","遗迹一层","76","77","1639@100","22036","50391","1"
"19","1","11","遗迹二层","78","79","1640@100","22039","50392","1"
"20","1","11","遗迹三层","80","81","1641@100","22041","50393","1"
"21","1","11","祭坛一层","82","83","1604@100","22042","50394","1"
"22","1","11","祭坛二层","84","85","1642@100","22045","50395","1"
"23","1","11","祭坛三层","86","87","1643@100","22047","50396","1"
"24","1","11","深渊一层","88","89","1644@100","22048","50397","1"
"25","1","11","深渊二层","90","91","1645@100","22051","50398","1"
"26","1","11","深渊三层","92","93","1646@100","22053","50399","1"
"27","1","11","雾都一层","94","95","1647@100","22054","50400","1"
"28","1","11","雾都二层","96","97","1648@100","22057","50401","1"
"29","1","11","雾都三层","98","100","1649@100","22059","50402","1"
"30","1","12","溶洞二层","15","24","1624@100","22003","50374","1"
"31","1","12","溶洞三层","25","29","1625@100","22005","50375","1"
"32","1","12","废矿一层","30","32","1626@100","22006","50376","1"
"33","1","12","废矿二层","33","35","1627@100","22009","50377","1"
"34","1","12","废矿三层","36","39","1628@100","22011","50378","1"
"35","1","12","银堡一层","40","42","1629@100","22012","50379","1"
"36","1","12","银堡二层","43","45","1630@100","22015","50380","1"
"37","1","12","银堡三层","46","49","1631@100","22017","50381","1"
"38","1","12","荒泽一层","50","52","1602@100","22018","50382","1"
"39","1","12","荒泽二层","53","55","1632@100","22021","50383","1"
"40","1","12","荒泽三层","56","59","1633@100","22023","50384","1"
"41","1","12","教堂一层","60","62","1634@100","22024","50385","1"
"42","1","12","教堂二层","63","65","1635@100","22027","50386","1"
"43","1","12","教堂三层","66","69","1636@100","22029","50387","1"
"44","1","12","埋股圣地一层","70","71","1603@100","22030","50388","1"
"45","1","12","埋股圣地二层","72","73","1637@100","22033","50389","1"
"46","1","12","埋股圣地三层","74","75","1638@100","22035","50390","1"
"47","1","12","遗迹一层","76","77","1639@100","22036","50391","1"
"48","1","12","遗迹二层","78","79","1640@100","22039","50392","1"
"49","1","12","遗迹三层","80","81","1641@100","22041","50393","1"
"50","1","12","祭坛一层","82","83","1604@100","22042","50394","1"
"51","1","12","祭坛二层","84","85","1642@100","22045","50395","1"
"52","1","12","祭坛三层","86","87","1643@100","22047","50396","1"
"53","1","12","深渊一层","88","89","1644@100","22048","50397","1"
"54","1","12","深渊二层","90","91","1645@100","22051","50398","1"
"55","1","12","深渊三层","92","93","1646@100","22053","50399","1"
"56","1","12","雾都一层","94","95","1647@100","22054","50400","1"
"57","1","12","雾都二层","96","97","1648@100","22057","50401","1"
"58","1","12","雾都三层","98","100","1649@100","22059","50402","1"
"59","1","13","溶洞二层","15","24","1624@100","22003","50374","1"
"60","1","13","溶洞三层","25","29","1625@100","22005","50375","1"
"61","1","13","废矿一层","30","32","1626@100","22006","50376","1"
"62","1","13","废矿二层","33","35","1627@100","22009","50377","1"
"63","1","13","废矿三层","36","39","1628@100","22011","50378","1"
"64","1","13","银堡一层","40","42","1629@100","22012","50379","1"
"65","1","13","银堡二层","43","45","1630@100","22015","50380","1"
"66","1","13","银堡三层","46","49","1631@100","22017","50381","1"
"67","1","13","荒泽一层","50","52","1602@100","22018","50382","1"
"68","1","13","荒泽二层","53","55","1632@100","22021","50383","1"
"69","1","13","荒泽三层","56","59","1633@100","22023","50384","1"
"70","1","13","教堂一层","60","62","1634@100","22024","50385","1"
"71","1","13","教堂二层","63","65","1635@100","22027","50386","1"
"72","1","13","教堂三层","66","69","1636@100","22029","50387","1"
"73","1","13","埋股圣地一层","70","71","1603@100","22030","50388","1"
"74","1","13","埋股圣地二层","72","73","1637@100","22033","50389","1"
"75","1","13","埋股圣地三层","74","75","1638@100","22035","50390","1"
"76","1","13","遗迹一层","76","77","1639@100","22036","50391","1"
"77","1","13","遗迹二层","78","79","1640@100","22039","50392","1"
"78","1","13","遗迹三层","80","81","1641@100","22041","50393","1"
"79","1","13","祭坛一层","82","83","1604@100","22042","50394","1"
"80","1","13","祭坛二层","84","85","1642@100","22045","50395","1"
"81","1","13","祭坛三层","86","87","1643@100","22047","50396","1"
"82","1","13","深渊一层","88","89","1644@100","22048","50397","1"
"83","1","13","深渊二层","90","91","1645@100","22051","50398","1"
"84","1","13","深渊三层","92","93","1646@100","22053","50399","1"
"85","1","13","雾都一层","94","95","1647@100","22054","50400","1"
"86","1","13","雾都二层","96","97","1648@100","22057","50401","1"
"87","1","13","雾都三层","98","100","1649@100","22059","50402","1"
"88","1","14","溶洞二层","15","24","1624@100","22003","50374","1"
"89","1","14","溶洞三层","25","29","1625@100","22005","50375","1"
"90","1","14","废矿一层","30","32","1626@100","22006","50376","1"
"91","1","14","废矿二层","33","35","1627@100","22009","50377","1"
"92","1","14","废矿三层","36","39","1628@100","22011","50378","1"
"93","1","14","银堡一层","40","42","1629@100","22012","50379","1"
"94","1","14","银堡二层","43","45","1630@100","22015","50380","1"
"95","1","14","银堡三层","46","49","1631@100","22017","50381","1"
"96","1","14","荒泽一层","50","52","1602@100","22018","50382","1"
"97","1","14","荒泽二层","53","55","1632@100","22021","50383","1"
"98","1","14","荒泽三层","56","59","1633@100","22023","50384","1"
"99","1","14","教堂一层","60","62","1634@100","22024","50385","1"
"100","1","14","教堂二层","63","65","1635@100","22027","50386","1"
"101","1","14","教堂三层","66","69","1636@100","22029","50387","1"
"102","1","14","埋股圣地一层","70","71","1603@100","22030","50388","1"
"103","1","14","埋股圣地二层","72","73","1637@100","22033","50389","1"
"104","1","14","埋股圣地三层","74","75","1638@100","22035","50390","1"
"105","1","14","遗迹一层","76","77","1639@100","22036","50391","1"
"106","1","14","遗迹二层","78","79","1640@100","22039","50392","1"
"107","1","14","遗迹三层","80","81","1641@100","22041","50393","1"
"108","1","14","祭坛一层","82","83","1604@100","22042","50394","1"
"109","1","14","祭坛二层","84","85","1642@100","22045","50395","1"
"110","1","14","祭坛三层","86","87","1643@100","22047","50396","1"
"111","1","14","深渊一层","88","89","1644@100","22048","50397","1"
"112","1","14","深渊二层","90","91","1645@100","22051","50398","1"
"113","1","14","深渊三层","92","93","1646@100","22053","50399","1"
"114","1","14","雾都一层","94","95","1647@100","22054","50400","1"
"115","1","14","雾都二层","96","97","1648@100","22057","50401","1"
"116","1","14","雾都三层","98","100","1649@100","22059","50402","1"
"117","1","15","溶洞二层","15","24","1624@100","22003","50374","1"
"118","1","15","溶洞三层","25","29","1625@100","22005","50375","1"
