"明雷类id","明雷组","地图id","NPCid"
"1","1","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","170000@20;170001@20;170002@20;170003@20;170004@20"
"2","2","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","170010@100"
"3","3","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","170201@100"
"4","4","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","181000@100"
"5","5","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","180301@100;180302@100;180303@100;180304@100;180305@100;180306@100;180307@100;180308@100"
"6","6","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","180309@100;180310@100;180311@100;180312@100;180313@100;180314@100;180315@100;180316@100"
"7","7","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","180011@100"
"8","8","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","180501@100;180502@100;180503@100;180504@100;180505@100;180506@100;180507@100;180508@100"
,,,
,,,
,,,
,,,
