"id","等级段min","等级段max","环数段min","环数段max","任务概率"
"1","50","59","0","29","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"2","50","59","30","69","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"3","50","59","70","99","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"4","50","59","100","129","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"5","50","59","130","159","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"6","50","59","160","189","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"7","50","59","190","219","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"8","50","59","220","249","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"9","50","59","250","279","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"10","50","59","280","300","1080001@15;1080002@15;1080003@15;1080004@15;1080005@15;1080006@25;1080007@25"
"11","60","155","0","29","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"12","60","155","30","69","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"13","60","155","70","99","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"14","60","155","100","129","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"15","60","155","130","159","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"16","60","155","160","189","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"17","60","155","190","219","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"18","60","155","220","249","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"19","60","155","250","279","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
"20","60","155","280","300","1080001@10;1080002@10;1080003@10;1080004@10;1080005@10;1080006@25;1080007@25"
