"送信类id","送信组","职业","npcid","服务ID"
"1","1","11","160802;160803;160805;160806;160807;160808;160809","100035"
"2","1","12","160802;160803;160805;160806;160807;160808;160809","100035"
"3","1","13","160802;160803;160805;160806;160807;160808;160809","100035"
"4","1","14","160802;160803;160805;160806;160807;160808;160809","100035"
"5","1","15","160802;160803;160805;160806;160807;160808;160809","100035"
"6","1","16","160802;160803;160805;160806;160807;160808;160809","100035"
"7","1","17","160802;160803;160805;160806;160807;160808;160809","100035"
"8","1","18","160802;160803;160805;160806;160807;160808;160809","100035"
"9","1","19","160802;160803;160805;160806;160807;160808;160809","100035"
"10","2","11","13104","100036"
"11","2","12","13101","100036"
"12","2","13","13102","100036"
"13","2","14","13100","100036"
"14","2","15","13105","100036"
"15","2","16","13103","100036"
"16","2","17","13107","100036"
"17","2","18","13106","100036"
"18","2","19","13108","100036"
"19","3","11","13104","100036"
"20","3","12","13101","100036"
"21","3","13","13102","100036"
"22","3","14","13100","100036"
"23","3","15","13105","100036"
"24","3","16","13103","100036"
"25","3","17","13107","100036"
"26","3","18","13106","100036"
"27","3","19","13108","100036"
"28","4","11","160802;160803;160805;160806;160807;160808;160809","100183"
"29","4","12","160802;160803;160805;160806;160807;160808;160809","100183"
"30","4","13","160802;160803;160805;160806;160807;160808;160809","100183"
"31","4","14","160802;160803;160805;160806;160807;160808;160809","100183"
"32","4","15","160802;160803;160805;160806;160807;160808;160809","100183"
"33","4","16","160802;160803;160805;160806;160807;160808;160809","100183"
"34","4","17","160802;160803;160805;160806;160807;160808;160809","100183"
"35","4","18","160802;160803;160805;160806;160807;160808;160809","100183"
"36","4","19","160802;160803;160805;160806;160807;160808;160809","100183"
"37","5","11","160802;160803;160805;160806;160807;160808;160809","100184"
"38","5","12","160802;160803;160805;160806;160807;160808;160809","100184"
"39","5","13","160802;160803;160805;160806;160807;160808;160809","100184"
"40","5","14","160802;160803;160805;160806;160807;160808;160809","100184"
"41","5","15","160802;160803;160805;160806;160807;160808;160809","100184"
"42","5","16","160802;160803;160805;160806;160807;160808;160809","100184"
"43","5","17","160802;160803;160805;160806;160807;160808;160809","100184"
"44","5","18","160802;160803;160805;160806;160807;160808;160809","100184"
"45","5","19","160802;160803;160805;160806;160807;160808;160809","100184"
