"循环任务总表id","循环任务类型","说明（策划）","等级组","等级段min","等级段max","同等级段随机权重","周期","轮数","环数","次数","奖励次数","消耗双倍点数","是否组队共享","队伍人数下限","是否可任性","任性符石消耗","是否可放弃","解散队伍是否放弃","放弃后是否重置环数","接任务还是交任务计次","时间限制","是否自动寻路","是否出开奖","奖励转盘ID","开奖需要任务次数","自动领取下一轮","不自动领取确定提示","是否跨天自动接取","60次高奖励触发任务","140次高奖励触发任务","对应活动类型ID","高奖次数1","高奖次数触发任务1","高奖次数2","高奖次数触发任务2","是否调用环数控制列","第1环","第2环","第3环","第4环","第5环","第6环","第7环","第8环","第9环","第10环","经验环数等级系数","经验环数系数","经验等级系数","经验常数","金钱环数等级系数","金钱环数系数","金钱等级系数","金钱常数","公积金环数等级系数","公积金环数系数","公积金等级系数","公积金常数","宠物战斗经验宠物等级系数","宠物战斗经验常数","特殊任务id","每轮触发特殊任务几率","特殊事件ID与触发几率","高奖环数","高奖任务全部完成提示","每轮高奖奖励ID","每轮双倍点数附加奖励ID","高奖奖励ID","双倍点数附加奖励ID","普通奖励ID","匹配奖励方式","分级奖励","双倍点数附加分级奖励","共享奖励ID","共享分级奖励ID","额外奖励","额外奖励环数","特殊情况奖励ID","队长奖励1及概率","队长奖励2及概率","队长奖励3及概率","队长奖励4及概率","队长奖励5及概率","任务领取成功提示","任务已领取提示","任务没有剩余次数提示","是否需求公会","额外道具奖励","额外道具奖励环数","每轮双倍道具奖励","每轮高奖道具奖励","经验公式","银币公式","金币公式","宠物经验公式","双倍经验公式","双倍银币公式","双倍金币公式","双倍宠物经验公式","高奖经验公式","高奖银币公式","高奖金币公式","高奖宠物经验公式"
"1","1010000","职业日常","1","15","29",,"1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010006@20;1010010@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,,,"","","5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"2","1010000","职业日常","2","30","39","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010006@20;1010010@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,"","","","","5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"3","1010000","职业日常","3","40","49","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20;1010010@20","1010001@20;1010002@20;1010003@20","1010006@20;1010010@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,"","","","","5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"4","1010000","职业日常","4","50","54","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010006@40;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010006@40;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010006@40;1010008@10;1010009@30;1010010@40","1010006@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","","","","",,,"5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"5","1010000","职业日常","5","55","64","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@40;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@40;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@40;1010008@10;1010009@30;1010010@40","1010007@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","","","","",,,"5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"6","1010000","职业日常","6","65","69","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010007@20;1010011@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","","","","",,,"5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"7","1010000","职业日常","7","70","79","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010007@20;1010011@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,"","","","","5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"8","1010000","职业日常","8","80","89","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010007@20;1010011@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,"","","","","5003","10","5003",,,,,,,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"9","1010000","职业日常","9","90","155","","1","2","10","20","20","0","0","0","0","0","1","0","1","2","0","0","0","10","60","1",,"1","1070000","1070000","101","60","1070000","140","1070000","0","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010001@20;1010002@20;1010003@20","1010004@20;1010005@20;1010006@20","1010007@20;1010011@20;1010008@10;1010009@30;1010010@40","1010007@20;1010011@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0",,"0",,"20","","5001","","5000","","",,"","","","","5003","10","5003",,,,"","",,,"150539",,"320000","10","320102","320001","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
"10","1030000","日常副本","1","20","155","","1","0","10","0","50","4","1","3","0","0","1","1","1","2","1800","1","0",,,"0","150535","0",,,"102",,,,,"0","1030004@20;1030005@20;1030006@20;1030007@20","1030008@20;1030009@20;1030010@20;1030011@20;1030012@20","1030004@20;1030005@20;1030006@20;1030007@20","1030008@20;1030009@20;1030010@20;1030011@20;1030012@20","1030004@20;1030005@20;1030006@20;1030007@20","1030008@20;1030009@20;1030010@20;1030011@20;1030012@20","1030004@20;1030005@20;1030006@20;1030007@20","1030008@20;1030009@20;1030010@20;1030011@20;1030012@20","1030004@20;1030005@20;1030006@20;1030007@20","1030008@20;1030009@20;1030010@20;1030011@20;1030012@20","20.0","0.0","0.0","10000.0","6.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","110.0","400.0","1030013","50","50@10","0","","","","","","5070","2","","20,29,5010;30,39,5020;40,49,5030;50,59,5040;60,69,5050;70,160,5060","","20,29,5110;30,39,5120;40,49,5130;50,155,5140","","","","5271@6","","",,,,,,,"320000","10","320000","320000","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)","1*(1+num/10)"
