"id","下一步","触发任务id","战斗ID触发","回合数触发","触发功能ID","队伍列表信息","是否判定组队状态","触发等级","道具id","条件道具ID","技能id","等级上限","是否锁屏","是否永久锁屏","按钮名称","响应按钮","按钮形状","相应战斗点位","箭头内容","界面位置","文字位置","图片名称","解锁特效","是否播放提醒动画","引导特效类别","引导特效","辅助引导特效","引导特效缩放比例","出现类型"
"31001","0","180101","","","0","","","0","0","0","0","100","1","0","180101TaskTrackcell","180101TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31002","0","180201","","","0","","","0","0","0","0","100","1","0","180201TaskTrackcell","180201TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31003","0","180301","","","0","","","0","0","0","0","100","1","0","180301TaskTrackcell","180301TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31004","0","180401","","","0","","","0","0","0","0","100","1","0","180401TaskTrackcell","180401TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31005","0","180501","","","0","","","0","0","0","0","100","1","0","180501TaskTrackcell","180501TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31006","0","180601","","","0","","","0","0","0","0","100","1","0","180601TaskTrackcell","180601TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31008","0","0","","","0","","","0","0","0","0","100","0","0","familyjiarudialog/anniu/chuangjiangonghui","familyjiarudialog/anniu/chuangjiangonghui","1","","<T t=""点击创建公会"" c=""ffefd9b8"" ></T>","0","7","","0","0","0","11066","11068","1","0"
"31009","0","180701","","","0","","","0","0","0","0","100","1","0","180701TaskTrackcell","180701TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31010","0","180801","","","0","","","0","0","0","0","100","1","0","180801TaskTrackcell","180801TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31011","0","180901","","","0","","","0","0","0","0","100","1","0","180901TaskTrackcell","180901TaskTrackcell","1","","<T t=""点击追踪第一条任务"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
