"id","条件ID","动作ID","执行次数","启用AI","外部AI文件","触发时机","策划备注"
"12011","33011","52011",,,,"3","自动对boss使用挫志怒吼"
"12012","33012","52012",,,,"3","自动对boss使用破甲"
"12013","33013","52013",,,,"3","自动对boss使用毁灭打击"
"12021","33021","52021",,,,"3","自动对boss使用复仇之盾"
"12022","33022","52022",,,,"3","自动对敌方隐身单位使用神谕责难"
"12023","33023","52023",,,,"3","自动使用圣光洗礼"
"12024","33024","52024",,,,"3","自动对boss使用无边定罪"
"12031","33031","52031",,,,"3","首回合自动使用野性召唤"
"12032","33032","52032",,,,"3","自动对boss使用精准打击"
"12033","33033","52033",,,,"3","魔法值低于10%时自动使用生命献祭"
"12041","33041","52041",,,,"3","敌方有隐身单位时自动使用自然之眼"
"12042","33042","52042",,,,"3","首回合自动使用绿之潮"
"12043","33043","52043",,,,"3","自动使用黄昏花蕾"
"12051","33051","52051",,,,"3","自动对精英怪使用变形术"
"12052","33052","52052",,,,"3","自动释放冰霜血脉"
"12061","33061","52061",,,,"3","首回合自动使用心灵之火"
"12062","33062","52062",,,,"3","自动复活死亡单位"
"12063","33063","52063",,,,"3","自动使用治疗祷言"
"12064","33064","52064",,,,"3","自动使用神圣救赎"
"12071","33071","52071",,,,"3","自动使用先祖之魂"
"12081","33081","52081","","",,"3","自动对精英怪使用闷棍"
"12082",,"52082",,,"","3","XX连击点以上对boss使用剔骨"
"12083","33083","52083",,,"","3","自动对boss使用穿刺影袭"
"12084",,"52084",,,"","3","XX连击点以上使用剔骨"
"12091","33091","52091",,,,"3","自动对精英怪使用沉默诅咒"
"12092","33092","52092",,,,"3","首回合自动使用虚弱诅咒"
"12093","33093","52093",,,,"3","自动使用生命虹吸"
"12101","34024","52082","","","","3","0个连击点以上对boss使用剔骨"
"12002","34025","52082","","","","3","1个连击点以上对boss使用剔骨"
"12003","34026","52082","","","","3","2个连击点以上对boss使用剔骨"
"12004","34027","52082","","","","3","3个连击点以上对boss使用剔骨"
"12005","34028","52082","","","","3","4个连击点以上对boss使用剔骨"
"12006","34029","52082","","","","3","5个连击点以上对boss使用剔骨"
"12111","34030","52083","","","","3","0个连击点以上自动使用剔骨"
"12112","34031","52083","","","","3","1个连击点以上自动使用剔骨"
"12113","34032","52083","","","","3","2个连击点以上自动使用剔骨"
"12114","34033","52083","","","","3","3个连击点以上自动使用剔骨"
"12115","34034","52083","","","","3","4个连击点以上自动使用剔骨"
"12116","34035","52083","","","","3","5个连击点以上自动使用剔骨"
"13001","","","","13101@1;13102@1;13103@1;13104@1;13106@1;13107@1;13108@1;13109@1;13110@1@1;13100@1","","12","战士1"
"13002","","","","13111@1;13112@1;13113@1;13114@1;13116@1;13117@1;13118@1;13119@1;13120@1@1;13100@1","","12","战士2"
"13003","","","","13121@1;13122@1;13123@1;13124@1;13125@1;13126@1;13127@1@1;13100@1","","12","圣骑1"
"13004","","","","13128@1;13129@1;13130@1;13131@1;13132@1;13133@1;13134@1@1;13100@1","","12","圣骑2"
"13005","","","","13135@1;13136@1;13137@1;13138@1;13139@1;13140@1;13141@1;13142@1@1;13100@1","","12","猎人1"
"13006","","","","13143@1;13144@1;13145@1;13146@1;13147@1;13148@1;13149@1;13150@1@1;13100@1","","12","猎人2"
"13007","","","","13151@1;13152@1;13153@1;13154@1;13155@1;13156@1@1;13100@1","","12","德鲁伊1"
"13008","","","","13157@1;13158@1;13159@1;13160@1;13161@1;13162@1@1;13100@1","","12","德鲁伊2"
"13009","","","","13163@1;13164@1;13165@1;13166@1;13167@1;13168@1;13169@1;13170@1@1;13100@1","","12","法师1"
"13010","","","","13171@1;13172@1;13173@1;13174@1;13175@1;13176@1;13177@1;13178@1@1;13100@1","","12","法师2"
"13011","","","","13179@1;13180@1;13181@1;13182@1;13183@1;13184@1;13185@1;13186@1@1;13100@1","","12","牧师1"
"13012","","","","13187@1;13188@1;13189@1;13190@1;13191@1;13192@1;13193@1;13194@1@1;13100@1","","12","牧师2"
"13013","","","","13195@1;13196@1;13197@1;13198@1;13199@1;13200@1;13201@1@1;13100@1","","12","萨满1"
"13014","","","","13202@1;13203@1;13204@1;13205@1;13206@1;13207@1;13208@1@1;13100@1","","12","萨满2"
"13015","","","","13209@1;13210@1;13211@1;13212@1;13213@1;13214@1;13215@1;13216@1;13217@1;13218@1@1;13100@1","","12","盗贼1"
"13016","","","","13219@1;13220@1;13221@1;13222@1;13223@1;13224@1;13225@1;13226@1;13227@1;13228@1@1;13100@1","","12","盗贼2"
"13017","","","","13229@1;13230@1;13231@1;13232@1;13233@1;13234@1;13235@1;13236@1@1;13100@1","","12","术士1"
"13018","","","","13237@1;13238@1;13239@1;13240@1;13241@1;13242@1;13243@1;13244@1@1;13100@1","","12","术士2"
"13100","","53001","","","","3","野外暗雷刷怪通用"
"13101","34101","53101","","",,"3",""
"13102","34102","53102","","",,"3",""
"13103","34103","53103","","",,"3",""
"13104","34104","53104","","",,"3",""
"13105","34105","53105","","",,"3",""
"13106","34106","53106","","",,"3",""
"13107","34107","53107","","",,"3",""
"13108","34108","53108","","",,"3",""
"13109","34109","53109","","",,"3",""
"13110","34110","53110","","",,"3",""
"13111","34101","53111","","",,"3",""
"13112","34102","53112","","",,"3",""
"13113","34103","53113","","",,"3",""
"13114","34104","53114","","",,"3",""
"13115","34105","53115","","",,"3",""
"13116","34106","53116","","",,"3",""
"13117","34107","53117","","",,"3",""
"13118","34108","53118","","",,"3",""
"13119","34109","53119","","",,"3",""
"13120","34110","53120","","",,"3",""
"13121","34201","53201","","",,"3",""
"13122","34202","53202","","",,"3",""
"13123","34203","53203","","",,"3",""
"13124","34204","53204","","",,"3",""
"13125","34205","53205","","",,"3",""
"13126","34206","53206","","",,"3",""
"13127","34207","53207","","",,"3",""
"13128","34201","53208","","",,"3",""
"13129","34202","53209","","",,"3",""
"13130","34203","53210","","",,"3",""
"13131","34204","53211","","",,"3",""
"13132","34205","53212","","",,"3",""
"13133","34207","53213","","",,"3",""
"13134","34206","53214","","",,"3",""
"13135","34301","53301","","",,"3",""
"13136","34302","53302","","",,"3",""
"13137","34303","53303","","",,"3",""
"13138","34304","53304","","",,"3",""
"13139","34305","53305","","",,"3",""
"13140","34306","53306","","",,"3",""
"13141","34307","53307","","",,"3",""
"13142","34308","53308","","",,"3",""
"13143","34301","53309","","",,"3",""
"13144","34302","53310","","",,"3",""
"13145","34303","53311","","",,"3",""
"13146","34304","53312","","",,"3",""
"13147","34305","53313","","",,"3",""
"13148","34306","53314","","",,"3",""
"13149","34307","53315","","",,"3",""
"13150","34308","53316","","",,"3",""
"13151","34401","53401","","",,"3",""
"13152","34402","53402","","",,"3",""
"13153","34403","53403","","",,"3",""
"13154","34404","53404","","",,"3",""
"13155","34405","53405","","",,"3",""
"13156","34406","53406","","",,"3",""
"13157","34401","53407","","",,"3",""
"13158","34402","53408","","",,"3",""
"13159","34403","53409","","",,"3",""
"13160","34404","53410","","",,"3",""
"13161","34405","53411","","",,"3",""
"13162","34406","53412","","",,"3",""
"13163","34501","53501","","",,"3",""
"13164","34502","53502","","",,"3",""
"13165","34503","53503","","",,"3",""
"13166","34504","53504","","",,"3",""
"13167","34505","53505","","",,"3",""
"13168","34506","53506","","",,"3",""
"13169","34507","53507","","",,"3",""
"13170","34508","53508","","",,"3",""
"13171","34501","53509","","",,"3",""
"13172","34502","53510","","",,"3",""
"13173","34503","53511","","",,"3",""
"13174","34504","53512","","",,"3",""
"13175","34505","53513","","",,"3",""
"13176","34506","53514","","",,"3",""
"13177","34507","53515","","",,"3",""
"13178","34508","53516","","",,"3",""
"13179","34601","53601","","",,"3",""
"13180","34602","53602","","",,"3",""
"13181","34603","53603","","",,"3",""
"13182","34604","53604","","",,"3",""
"13183","34605","53605","","",,"3",""
"13184","34606","53606","","",,"3",""
"13185","34607","53607","","",,"3",""
"13186","34608","53608","","",,"3",""
"13187","34601","53609","","",,"3",""
"13188","34602","53610","","",,"3",""
"13189","34603","53611","","",,"3",""
"13190","34605","53612","","",,"3",""
"13191","34604","53613","","",,"3",""
"13192","34606","53614","","",,"3",""
"13193","34607","53615","","",,"3",""
"13194","34608","53616","","",,"3",""
"13195","34701","53701","","",,"3",""
"13196","34702","53702","","",,"3",""
"13197","34703","53703","","",,"3",""
"13198","34704","53704","","",,"3",""
"13199","34705","53705","","",,"3",""
"13200","34706","53706","","",,"3",""
"13201","34707","53707","","",,"3",""
"13202","34701","53708","","",,"3",""
"13203","34702","53709","","",,"3",""
"13204","34703","53710","","",,"3",""
"13205","34704","53711","","",,"3",""
"13206","34705","53712","","",,"3",""
"13207","34706","53713","","",,"3",""
"13208","34707","53714","","",,"3",""
"13209","34801","53801","","",,"3",""
"13210","34802","53802","","",,"3",""
"13211","34803","53803","","",,"3",""
"13212","34804","53804","","",,"3",""
"13213","34805","53805","","",,"3",""
"13214","34806","53806","","",,"3",""
"13215","34807","53807","","",,"3",""
"13216","34808","53808","","",,"3",""
"13217","34809","53809","","",,"3",""
"13218","34810","53810","","",,"",""
"13219","34801","53811","","",,"3",""
"13220","34802","53812","","",,"3",""
"13221","34803","53813","","",,"3",""
"13222","34804","53814","","",,"3",""
"13223","34805","53815","","",,"3",""
"13224","34806","53816","","",,"3",""
"13225","34807","53817","","",,"3",""
"13226","34808","53818","","",,"3",""
"13227","34809","53819","","",,"3",""
"13228","34810","53820","","",,"",""
"13229","34901","53901","","",,"3",""
"13230","34902","53902","","",,"3",""
"13231","34903","53903","","",,"3",""
"13232","34904","53904","","",,"3",""
"13233","34905","53905","","",,"3",""
"13234","34906","53906","","",,"3",""
"13235","34907","53907","","",,"3",""
"13236","34908","53908","","",,"3",""
"13237","34901","53909","","",,"3",""
"13238","34902","53910","","",,"3",""
"13239","34903","53911","","",,"3",""
"13240","34904","53912","","",,"3",""
"13241","34905","53913","","",,"3",""
"13242","34906","53914","","",,"3",""
"13243","34907","53915","","",,"3",""
"13244","34908","53916","","",,"3",""
"14011","","","","14101@1;14103@1;14105@1;14106@1;14104@1",,"12","战士擅长毁灭打击2"
"14012","","","","14101@1;14103@1;14107@1;14139@1;14108@1;14104@1",,"12","战士擅长幻影斩1"
"14021","","","","14102@1;14103@1;14109@1;14104@1",,"12","圣骑擅长神谕责难2"
"14022","","","","14102@1;14103@1;14110@1;14104@1",,"12","圣骑擅长混乱感召4"
"14023","","","","14102@1;14103@1;14111@1;14112@1;14113@1;14104@1",,"12","圣骑擅长无边定罪1"
"14031","","","","14101@1;14103@1;14114@1;14104@1",,"12","猎人擅长多重打击1"
"14032","","","","14101@1;14103@1;14115@1;14116@1;14104@1",,"12","猎人擅长诱捕打击2"
"14033","","","","14101@1;14103@1;14117@1;14118@1;14104@1",,"12","猎人擅长稳固打击3"
"14041","","","","14102@1;14103@1;14119@1;14120@1;14121@1;14122@1;14104@1",,"12","德鲁伊通用"
"14051","","","","14102@1;14103@1;14123@1;14124@1;14125@1;14104@1",,"12","法师擅长暴风雪1"
"14052","","","","14102@1;14103@1;14126@1;14127@1;14128@1;14104@1",,"12","法师擅长奥术冲击2"
"14053","","","","14102@1;14103@1;14129@1;14130@1;14131@1;14104@1",,"12","法师擅长从容不迫4"
"14061","","","","14102@1;14103@1;14132@1;14133@1;14134@1;14135@1;14104@1",,"12","牧师擅长治疗祷言2"
"14062","","","","14102@1;14103@1;14136@1;14137@1;14138@1;14104@1",,"12","牧师擅长苏生3"
"14101","34001","54001","","",,"3",
"14102","34001","54002","","",,"3",
"14103","34002","54002","","",,"3",
"14104","","54003","","",,"3","野外暗雷刷怪通用"
"14105","34003","54101","","",,"3",
"14106","34004","54102","","",,"3",
"14107","34021","54103","","",,"3",
"14108","34004","54104","","",,"3",
"14109","34007","54201","","",,"3",
"14110","34007","54202","","",,"3",
"14111","34005","54203","","",,"3",
"14112","34006","54204","","",,"3",
"14113","34007","54205","","",,"3",
"14114","34008","54301","","",,"3",
"14115","34020","54302","","",,"3",
"14116","34007","54303","","",,"3",
"14117","34008","54304","","",,"3",
"14118","","54305","","",,"3",
"14119","34009","54401","","",,"3",
"14120","34010","54402","","",,"3",
