"id","战斗回合数","条件脚本","AI怪回合数","触发几率","对象过滤","被使用的技能ID","策划备注"
"34001",">=1","","","","_94001_>=1","","自己中禁魔"
"34002",">=1","","","","_94002_>=1","","自己中禁魔加定身"
"34003",">=1","","","","_94003_>=1","","自身血大于等于50%"
"34004",">=1","","","","_94004_>=1","","自身血小于等于30%"
"34005",">=1","","","","_94005_>=5","","对方没被控制的单位大于等于5"
"34006",">=1","","","","_94005_>=3","","对方没被控制的单位大于等于3"
"34007",">=1","","","","_94005_>=1","","对方没被控制的单位大于等于1"
"34008",">=1","","","","_94006_<3","","对方单位数量小于3"
"34009",">=1","","","","_94007_>=2&&_94011_>=1","","我方主角和伙伴血小于等于80%的单位大于等于2且对方没中毒的单位大于等于1"
"34010",">=1","","","","_94007_>=2","","我方主角和伙伴血小于等于80%的单位大于等于2"
"34011",">=1","","","","_94008_>=1","","对方隐身单位大于等于1"
"34012",">=1","","","","_94009_<1","","对方身上有绿之潮buff的单位小于1"
"34013",">=1","","","","_94012_>=2","","我方中毒单位大于等于2"
"34014",">=1","","","","_94013_>=1","","对方血小于等于30%的单位大于等于1"
"34016",">=1","","","","_94016_>=1","","我方血小于等于50%单位大于等于1"
"34017",">=1","","","","_94014_>=1","","我方死亡单位大于等于1"
"34018",">=1","","","","_94015_>=1","","我方血小于等于80%单位大于等于1"
"34019",">=1","","","","_94017_<1","","我方身上有专注意志buff的单位小于1"
"34020",">=1","","","","_94006_<3&&_94005_>=1","","对方单位数量小于3且对方没被控制的单位大于等于1"
"34021",">=1","","","","_94003_>=1&&_94006_>=3","","自身血大于等于50%且对方人数大于等于3"
"34022",">=1","","","","_94003_>=1&&_94006_<3","","自身血大于等于50%且对方人数小于于3"
"34023",">=1","","","","_94019_>=1","","己方没有有圣光意志buff大于等于1"
"33011",">=1","","","","_94023_>=1","","敌方有boss没中嘲讽"
"33012",">=1","","","","_94024_>=1","","敌方有boss没中破甲"
"33013",">=1","","","","_94029_>=1","","敌方有boss"
"33021",">=1","","","","_94023_>=1","","敌方有boss没中嘲讽"
"33022",">=1","","","","_94027_>=1","","敌方有隐身单位"
"33023",">=1","","","","_94028_>=1","","我方血小于等于60%单位大于等于1"
"33024",">=1","","","","_94029_>=1","","敌方有boss"
"33031","==1","","","","_94046_<1&&_94045_>=3","","我方有野性召唤buff的宠物单位小于1（包含死亡）并且我方有3只以上宠物"
"33032",">=1","","","","_94029_>=1","","敌方有boss"
"33033",">=1","","","","_94031_>=3","","魔法值低于10%时"
"33041",">=1","","","","_94027_>=1&&_94053_<1","","敌方有隐身单位且我方身上有自然之眼buff的单位（包含死亡）小于1"
"33042","==1","","","","_94034_<1","","我方有绿之潮buff的单位小于1（包含死亡）"
"33043",">=1","","","","_94032_<1&&_94033_>=2","","我方有黄昏花蕾buff的单位小于1（包含死亡）且血量少于80%的主角大于等于2"
"33051",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"33052",">=1","","","","_94036_>=2","","我方中毒单位大于等于2"
"33061","==1","","","","_94040_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"33062",">=1","","","","_94039_>=1","","我方死亡单位大于等于1"
"33063",">=1","","","","_94038_>=2||_94028_>=1","","我方血小于等于80%单位大于等于2或我方血小于等于60%单位大于等于1"
"33064",">=1","","","","_94041_>=6","","我方中debuff单位大于等于6"
"33071",">=1","","","","_94039_>=1","","我方死亡单位大于等于1"
"33081",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"33083",">=1","","","","_94029_>=1","","敌方有boss"
"34024",">=1","effectpointa>=0","","","_94029_>=1","","敌方有boss且连击点达到0"
"34025",">=1","effectpointa>=1","","","_94029_>=1","","敌方有boss且连击点达到1"
"34026",">=1","effectpointa>=2","","","_94029_>=1","","敌方有boss且连击点达到2"
"34027",">=1","effectpointa>=3","","","_94029_>=1","","敌方有boss且连击点达到3"
"34028",">=1","effectpointa>=4","","","_94029_>=1","","敌方有boss且连击点达到4"
"34029",">=1","effectpointa>=5","","","_94029_>=1","","敌方有boss且连击点达到5"
"34030",">=1","effectpointa>=0","","","","","连击点达到0"
"34031",">=1","effectpointa>=1","","","","","连击点达到1"
"34032",">=1","effectpointa>=2","","","","","连击点达到2"
"34033",">=1","effectpointa>=3","","","","","连击点达到3"
"34034",">=1","effectpointa>=4","","","","","连击点达到4"
"34035",">=1","effectpointa>=5","","","","","连击点达到5"
"33091",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"33092","==1","","","","_94042_<1","","敌方有身上有虚弱诅咒buff的单位小于1（包含死亡）"
"33093",">=1","","","","_94026_>=1","","自身血量低于50%"
"34101",">=1","","","","_94020_>=1","","自己中沉默"
"34102",">=1","","","","_94021_>=1","","自己中眩晕"
"34103",">=1","","","","_94022_>=1","","自己中变羊"
"34104",">=1","","","","_94023_>=1","","敌方有boss没中嘲讽"
"34105",">=1","","","","_94024_>=1","","敌方有boss没中破甲"
"34106",">=1","","","","_94025_>=1&&_94029_>=1","","自身血大于等于50%且有boss"
"34107",">=1","","","","_94025_>=1&&_94030_>=3","","自身血大于等于50%且对方人数大于等于3"
"34108",">=1","","","","_94025_>=1&&_94030_==2","","自身血大于等于50%且对方人数等于2"
"34109",">=1","","","","_94025_>=1&&_94030_==1","","自身血大于等于50%且对方人数等于1"
"34110",">=1","","","","_94026_>=1","","自身血小于50%"
"34201",">=1","","","","_94020_>=1","","自己中沉默"
"34202",">=1","","","","_94021_>=1","","自己中眩晕"
"34203",">=1","","","","_94022_>=1","","自己中变羊"
"34204",">=1","","","","_94023_>=1","","敌方有boss没中嘲讽"
"34205",">=1","","","","_94027_>=1","","敌方有隐身单位"
"34206",">=1","","","","_94028_>=1","","我方血小于等于60%单位大于等于1"
"34207",">=1","","","","_94029_>=1","","敌方有boss"
"34301",">=1","","","","_94020_>=1","","自己中沉默"
"34302",">=1","","","","_94021_>=1","","自己中眩晕"
"34303",">=1","","","","_94022_>=1","","自己中变羊"
"34304",">=1","","","","_94030_>=3","","敌方数量大于等于3个"
"34305",">=1","","","","_94030_==2&&_94029_>=1","","敌方数量等于2个且有boss"
"34306",">=1","","","","_94030_==2","","敌方数量等于2个"
"34307",">=1","","","","_94030_==1","","敌方数量等于1个"
"34308",">=1","","","","_94031_>=3","","己方3个主角魔法值都低于10%"
"34401",">=1","","","","_94020_>=1","","自己中沉默"
"34402",">=1","","","","_94021_>=1","","自己中眩晕"
