"ID","备注","战斗AI类型","底图","背景音乐","战斗等级","战场环境","战场AI","奖励ID","战斗胜利判定","助战","怪物数量","站位配置ID","点1","点2","点3","点4","点5","点6","点7","点8","点9","点10","点11","点12","点13","点14","点15","点16","点17","点18","点19","点20","点21","点22","点23","点24","点25","点26","点27","点28","死亡提醒显示"
"1001","","","0","2","","0","","0","","4","1*TeamNum+2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25119@100","25119@100","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","0","0","0","0","0","0","0",""
"1002","","","0","2","","0","","0","","4","1*TeamNum+2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25122@100","25122@100","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","25120@50;25121@50","0","0","0","0","0","0","0",""
"1003","","","0","2","","0","","0","","4","0*TeamNum+5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25167@100","25168@100","25168@100","25168@100","25168@100","0","0","0","0","0","0","0","0","0",""
"1004","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25188@100","0","0","0","0","0","0","0","0","0","0","0","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","0","0","0","0","0","0","0","0",""
"1005","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25189@100","0","0","0","0","0","0","0","0","0","0","0","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25172@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","0","0","0","0","0","0","0","0",""
"1006","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25181@100","0","0","0","0","0","0","0","0","0","0","0","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","0","0","0","0","0","0","0","0",""
"1007","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25184@100","0","0","0","0","0","0","0","0","0","0","0","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25324@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","0","0","0","0","0","0","0","0",""
"1008","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25185@100","0","0","0","0","0","0","0","0","0","0","0","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","0","0","0","0","0","0","0","0",""
"1009","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25186@100","0","0","0","0","0","0","0","0","0","0","0","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","25171@12;25173@12;25174@12;25175@12;25176@12;25177@12;25178@12;25179@16","0","0","0","0","0","0","0","0",""
"1010","","","0","2","","0","","0","","4","1*TeamNum","7","0","0","25180@100","0","0","0","0","0","0","0","0","0","0","0","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","25323@12;25325@12;25326@12;25327@12;25328@12;25329@12;25330@12;25331@16","0","0","0","0","0","0","0","0",""
