"id","组id","显示图标","名字","排序","描述","前往等级","前往逻辑","前往逻辑对应","完成逻辑","完成逻辑参数1","完成逻辑参数2","道具1","道具数量1","宠物1","宠物数量1","奖励ID"
"101","1","30228","<T t='萌宠相伴' c='FF00b1ff'/>","1","获得宠物训练师赠送的宠物。","1","1","18","1","506001,506002",,"310200","1","0","0","0"
"102","1","1154","<T t='呼朋唤友' c='FF00b1ff'/>","2","拥有自己的第一个好友。","1","1","49","2","1",,"0","0","0","0","12002"
"103","1","1421","<T t='新兵报到' c='FFcb05fc'/>","3","初到艾泽大陆，拜访各位强者。","1","3",,"3","180101,180201,180301,180401,180501,180601,180701,180801,180901",,"0","0","0","0","12003"
"201","2","30201","<T t='创物梦境' c='FF00b1ff'/>","1","带满四个助战参与战斗，轻松行走艾泽大陆。","10","1","24","4","4",,"332018","1","0","0","0"
"202","2","1417","<T t='公会玩法' c='FF00b1ff'/>","2","加入一个公会，使用公会频道。","10","5",,"5","1",,"0","0","0","0","12007"
"203","2","1087","<T t='职业任务' c='FF00FF00'/>","3","完成一轮（10个）职业任务。","10","4",,"10","101","10","0","0","0","0","12005"
"204","2","30220","<T t='半神之血' c='FFcb05fc'/>","4","教训教训寒冰王子，让他知道谁更强大。","10","3",,"3","180185",,"332030","1","0","0","0"
"205","2","208","<T t='职业技能' c='FF00FF00'/>","5","所有职业技能达到二十级，更加强力了！","10","1","19","7","20",,"0","0","0","0","12008"
"301","3","1088","<T t='大陆声音' c='FF00b1ff'/>","1","在世界频道喊话一次，让艾泽大陆都听到你的声音。","20","1","44","8","1",,"0","0","0","0","12009"
"302","3","1135","<T t='英雄试炼' c='FF00b1ff'/>","2","捍卫艾泽大陆，完成一次英雄试炼。","20","1","23","10","103","1","338000","1","0","0","0"
"303","3","30231","<T t='日常副本' c='FF00FF00'/>","3","完成10次日常副本。","20","2","161501","10","102","10","0","0","0","0","12011"
"304","3","30234","<T t='变异羽蛇' c='FFcb05fc'/>","7","完成菊爆大队-变异羽蛇任务，可获得变异羽蛇。","20","2","161517","3","600016",,"0","0","506011","1","0"
"305","3","1004","<T t='封印古神' c='FF00FF00'/>","5","击败挖宝时放出来的魔物。","20","1","41","10","105","1","310102","1","0","0","0"
"306","3","1155","<T t='寻宝秘闻' c='FF00FF00'/>","6","挖宝1次。","20","2","161510","9","1","0","331300","1","0","0","0"
"307","3","30245","<T t='玫瑰与王权' c='FFcb05fc'/>","4","大小姐不甘心失败，带着手下又来找你的麻烦。","20","3",,"3","181149",,"332066","1","0","0","0"
"403","4","1103","<T t='打造装备' c='FF00b1ff'/>","1","打造出来的装备属性更好，去尝试打造一件装备吧。","30","1","6","13","1",,"337011","1","0","0","0"
"404","4","1149","<T t='镶嵌宝石' c='FF00b1ff'/>","2","装备打上宝石可以让自己变的更强。","30","1","9","14","1,2,3,4,5,6,7,8,9","1","35001","1","0","0","0"
"405","4","1416","<T t='排行榜' c='FF00b1ff'/>","3","艾泽大陆排行榜。","30","1","43","15","1",,"0","0","0","0","12018"
"408","4","30243","<T t='两个国王' c='FFcb05fc'/>","4","这两个国王似乎都是真的，看来现在只有将两位国王都带回斯托姆城了。","30","3",,"3","181195",,"332006","1","0","0","0"
"501","5","1077","<T t='人物专精' c='FF00b1ff'/>","1","在公会中学习专精技能提升角色实力，将任意专精提升到1。","40","1","20","16","1",,"334100","5","0","0","0"
"502","5","1007","<T t='药品使用' c='FF00b1ff'/>","2","战斗中可以点击道具使用药品了。","40","2","161502","17","320004,320007,320100,320101,320102,320103,320104,320105,320150,320151,320152,320153,320154,320155,320156,320157","1","320105","1","0","0","0"
"507","5","30301","<T t='血色之殇' c='FFcb05fc'/>","3","达利安用生命唤醒了大领主莫格莱恩。","40","3",,"3","182198",,"0","0","0","0","12028"
"601","6","1055","<T t='巨龙入侵' c='FF00b1ff'/>","1","每个整点巨龙将会入侵艾泽大陆。","50","1","41","10","201","1","0","0","0","0","12025"
"602","6","272","<T t='职业特技' c='FF00b1ff'/>","2","职业特技，威力强大。学习职业特技。","50","1","19","19","1118,1218,1318,1418,1518,1618,1718,1818,1918","1","0","0","0","0","12026"
"607","6","1050","<T t='55级宠物' c='FF00b1ff'/>","3","拥有一只55级可以参战的宠物,野猪,吸血蝙蝠,野猪人,巫妖。","50","1","18","1","500232,500233,500234,500235,500273,500274,500275,500276,500178,500179,500180,500181,500182,500183,500118,500119,500120,500121,500122,500123",,"310001","1","0","0","0"
