"ID","名称","互斥","无效","顶掉","提示信息","互斥地图id"
"500009","回血","",,"500327",,
"500010","回蓝","",,"500328",,
"500016","毒","500080;509029;500148",,,,
"500027","混乱状态","500080;509029;500100;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100","500040",,
"500033","死亡","500080;509029",,,,
"500034","回合补血(HOT)","500033;500080;509029","500455",,,
"500035","回合补蓝(HOT)","500033;500080;509029","500455",,,
"500036","回合补伤(HOT)","500033;500080;509029","500455",,,
"500038","回合掉蓝(DOT)","500033;500080;509029;500148",,"500040",,
"500039","回合掉伤(DOT)","500033;500080;509029;500148",,"500040",,
"500040","睡眠","500080;509029;500100;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500042","监狱","",,"500153;500154;500155;500156",,
"500043","缉捕","500307",,,,"1514"
"500046","控制法术","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500047","控制法术，物理偏差","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500048","控制特技和物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500049","控制物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500050","控制法术","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500051","控制物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500052","控制法术物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500053","控制特技和物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500054","禁锢灵魂","500080;509029;500148","500054",,,
"500055","治疗无效","500080;509029;500148","500055",,,
"500056","控制物理和法术","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500059","隐身","500080;509029",,,,
"500060","被动隐身","500080;509029",,,,
"500061","反隐身","500080;509029",,,,
"500063","控制物理","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500080","被动-鬼魂","",,"1;201;211",,
"500102","特殊控制-无法使用法术","500080;509029",,,,
"500104","特产","507001;507007;507009;507013;500042;507018;507020;500335",,,,
"500106","姿态","",,"500107;500108",,
"500107","姿态","",,"500106;500108",,
"500108","姿态","",,"500106;500107",,
"500136",,"500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500138",,"",,"500329",,
"500139",,"",,"500330",,
"500140",,"",,"500331",,
"500144","宠物毒","500080;509029;500148;500103",,,,
"500148","GM无敌状态","",,"500016;500190;500038;500039",,
"500153",,"507007;507009;500154;500155;500156;507007;507008;507009;507010;500104;500043;507001;507004;500274;507025",,,"500274=143757",
"500154",,"500153;500155;500156;500104;500043;507001;500274",,,"500274=143757",
"500155",,"507007;507009;500154;500153;500156;507007;507008;507009;507010;500104;500043;507001;507004;500274;507025",,,"500274=143757",
"500156",,"507007;507009;500153;500154;500155;507007;507008;507009;507010;500104;500043;507001;507004;500274;507025",,,"500274=143757",
"500190","毒","500080;509029;500148",,,,
"500199","1-10朵鲜花环绕","500200;500201;500202;500203",,,,
"500200","11-98朵鲜花环绕","500201;500202;500203",,"500199",,
"500201","99-364朵鲜花环绕","500202;500203",,"500199;500200",,
"500202","365-998朵鲜花环绕","500203",,"500199;500200;500201",,
"500203","999以上鲜花环绕","",,"500199;500200;500201;500202",,
"500207",,"500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500227",,"500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500228","天鸣禅师-十二擒龙手","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500274","跳跃","507003",,"507003",,
"500278","无法行动","500080;509029;500148","500088;500046;500047;500048;500049;500050;500051;500052;500053;500056;500063;500207;500027;500040;500136;500227;500228;500278;500113;500100",,,
"500280","提升10%体质","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500281","提升10%内力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500282","提升10%力量","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500283","提示10%耐力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500284","提升10%敏捷","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500285","提升20%体质","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500286","提升20%内力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500287","提升20%力量","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500288","提升20%耐力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500289","提升20%敏捷","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500290","提升30%体质","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500291","提升30%内力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500292","提升30%力量","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500293","提升30%耐力","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500294","提升30%敏捷","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
