"编号ID","策划备注","附加属性id1","附加属性id1权重","附加属性id2","附加属性id2权重","附加属性id3","附加属性id3权重","附加属性id4","附加属性id4权重","附加属性id5","附加属性id5权重","附加属性id6","附加属性id6权重","附加属性id7","附加属性id7权重","附加属性id8","附加属性id8权重","附加属性id9","附加属性id9权重","附加属性id10","附加属性id10权重","附加属性id11","附加属性id11权重","附加属性id12","附加属性id12权重","附加属性id13","附加属性id13权重","附加属性id14","附加属性id14权重","附加属性id15","附加属性id15权重","附加属性id16","附加属性id16权重","附加属性id17","附加属性id17权重","附加属性id18","附加属性id18权重","附加属性id19","附加属性id19权重","附加属性id20","附加属性id20权重","附加属性id21","附加属性id21权重","附加属性id22","附加属性id22权重","附加属性id23","附加属性id23权重","附加属性id24","附加属性id24权重","附加属性id25","附加属性id25权重","附加属性id26","附加属性id26权重","附加属性id27","附加属性id27权重","附加属性id28","附加属性id28权重","附加属性id29","附加属性id29权重","附加属性id30","附加属性id30权重","附加属性id31","附加属性id31权重","附加属性id32","附加属性id32权重","附加属性id33","附加属性id33权重","附加属性id34","附加属性id34权重","附加属性id35","附加属性id35权重","附加属性id36","附加属性id36权重","附加属性id37","附加属性id37权重","附加属性id38","附加属性id38权重","附加属性id39","附加属性id39权重","附加属性id40","附加属性id40权重","总权重"
"1","附加蓝属性","1","20","2","20","3","20","4","20","5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"2","附加蓝属性","6","20","7","20","8","20","9","20","10","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"3","附加蓝属性","11","20","12","20","13","20","14","20","15","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"4","附加蓝属性","16","20","17","20","18","20","19","20","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"5","附加蓝属性","21","20","22","20","23","20","24","20","25","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"6","附加蓝属性","26","20","27","20","28","20","29","20","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"7","附加蓝属性","31","20","32","20","33","20","34","20","35","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"8","附加蓝属性","36","20","37","20","38","20","39","20","40","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"9","附加蓝属性","41","20","42","20","43","20","44","20","45","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
"10","附加蓝属性","46","20","47","20","48","20","49","20","50","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100"
