"ID","字符串"
"20","怪物"
"22",
"54","的"
"55","你好，我加你为好友了哦~以后常联系~"
"256","天"
"257","小时"
"258","分钟"
"260","体力"
"261","速度"
"262","攻击"
"263","法术"
"264","防御"
"265","资质"
"266","人员清理"
"267","长期不上线"
"268","表现不积极"
"269","志趣不合"
"270","<T t='$parameter1$' c='ff06cc11'/><T t='创建公会' c='FF693F00'/>"
"271","<T t='恭喜新成员' c='FF693F00'/><T t='$parameter1$' c='ff06cc11'/><T t='加入公会。' c='FF693F00'/>"
"272","<T t='很遗憾' c='FF693F00'/><T t='$parameter1$' c='ff06cc11'/><T t='离开了公会。' c='FF693F00'/>"
"273","<T t='$parameter1$' c='ff06cc11'/><T t='将' c='FF693F00'/><T t='$parameter2$' c='ff06cc11'/><T t='任命为' c='FF693F00'/><T t='$parameter3$' c='ff06cc11'/>"
"274","<T t='$parameter1$' c='ff06cc11'/><T t='因' c='FF693F00'/><T t='$parameter2$' c='ff06cc11'/><T t='被' c='FF693F00'/><T t='$parameter3$' c='ff06cc11'/><T t='踢出公会。' c='FF693F00'/>"
"275","<T t='公会维护消耗了' c='FF693F00'/><T t='$parameter1$' c='ff06cc11'/><T t='公会资金。' c='FF693F00'/>"
"276","<T t='$parameter1$' c='FF693F00'/><T t='提升至' c='FF693F00'/><T t='$parameter2$' c='FF693F00'/><T t='级' c='FF693F00'/>"
"277","<T t='因公会资金不足，公会建筑效果降至' c='FF693F00'/><T t='$parameter1$' c='FF693F00'/><T t='级' c='FF693F00'/>"
"278","公会"
"279","金库"
"280","药房"
"281","旅馆"
"282","系统"
"283","会长"
"284","宝宝等级过高无法捕捉"
"285","<T t=""行动目标:$parameter1$, 等级$parameter2$----$parameter3$开组了!"" c=""FF693F00""> </T><R t=""[申请加入]"" leaderid=""$parameter4$"" c=""FFFFFF00""></R>"
"286","开始组队"
"287","两倍"
"288","三倍"
"289","正常"
"290","熔火之心"
"291","纳克萨玛斯"
"292","竞技场"
"293","3v3竞技场"
"294","5v5竞技场"
"295","<T t='$parameter1$' c='ff06cc11'/><T t='将公会名称修改为' c='FF693F00'/><T t='$parameter2$' c='FF693F00'/>"
"296","<T t=""欢迎来到$parameter1$公会, 【公会ID：$parameter2$】$parameter3$"" c=""FF693F00""> </T>"
