"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"711001","幻影冲锋","","true","false","false","0","","1","true","1","2","480","0","","10+1.2*gradea","","","7110010,7110011,7110012,7110013,7110014,7110015","0,1000,1300,1600,1900,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"711002","嘲讽","","true","false","false","0","","","true","1","8","480","0","","10+1.2*gradea","","","7110020,7110021,7110022,7110023,7110024","0,1200,1200,1200,-1",,,"1",,,"1"
"711003","毁灭打击","","true","false","true","0","","","true","1","1","480","0","","0","","","7110030,7110031,7110032,7110033,7110034","0,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"711004","蓄力猛击","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7110040,7110041","0,0",,"geffect/sprite/skillbanner/luoshishu","1",,,
"711005","破甲","","true","false","true","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7110060,7110061","0,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"711006","猛击","","true","false","true","0","","","true","1","1","480","1000",,"0",,,"7110070,7110071,7110072","0,-1,-1",,,"1","1",,
"711007","桶桶英勇","","false","false","false","0","","","true","1","10","1","0",,"0",,,"","",,,"",,,
"711008","桶桶庇护","","false","false","false","0","","","true","1","13","4127","0",,"0",,,"7110080","0",,,"",,,
"712001","幻影冲锋","","true","false","false","0","","1","true","1","2","480","0","","10+1.2*gradea","","","7120010,7120011,7120012,7120013,7120014","0,1000,1300,1600,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"712002","嘲讽","","true","false","false","0","","","true","1","8","480","0","","10+1.2*gradea","","","7120020,7120021,7120022,7120023","0,1200,1200,1200",,,"1",,,"1"
"712003","毁灭打击","","true","false","true","0","","","true","1","1","480","0","","0","","","7120030,7120031,7120032,7120033,7120034","0,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"712004","蓄力猛击","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7120040,7120041","0,0",,"geffect/sprite/skillbanner/luoshishu","1",,,
"712005","破甲","","true","false","true","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7120060","0",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"712006","猛击","","true","false","true","0","","","true","1","1","480","1000",,"0",,,"7120070,7120071","0,-1",,,"1","1",,
"712007","代王律令","","false","false","false","0","","","true","1","10","1","0",,"0",,,"","",,,"",,,
"712008","阿男意志","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7120080","0",,,"",,,
"713001","幻影冲锋","","true","false","false","0","","1","true","1","2","480","0","","10+1.2*gradea","","","7130010,7130011,7130012,7130013,7130014","0,1000,1300,1600,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"713002","嘲讽","","true","false","false","0","","","true","1","8","480","0","","10+1.2*gradea","","","7130020,7130021,7130022,7130023","0,1200,1200,1200",,,"1",,,"1"
"713003","毁灭打击","","true","false","true","0","","","true","1","1","480","0","","0","","","7130030,7130031,7130032,7130033","0,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"713004","蓄力猛击","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7130040,7130041","0,0",,"geffect/sprite/skillbanner/luoshishu","1",,,
"713005","破甲","","true","false","true","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7130060","0",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"713006","猛击","","true","false","true","0","","","true","1","1","480","1000",,"0",,,"7130070,7130071","0,-1",,,"1","1",,
"713007","会长之怒","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7130080","0",,,"",,,
"713008","不死不休","","false","false","false","0","","","true","1","10","1","0",,"0",,,"","",,,"",,,
"714001","幻影冲锋","","true","false","false","0","","1","true","1","2","480","0","","10+1.2*gradea","","","7140010,7140011,7140012,7140013,7140014","0,1000,1300,1600,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"714002","嘲讽","","true","false","false","0","","","true","1","8","480","0","","10+1.2*gradea","","","7140020,7140021,7140022,7140023","0,1200,1200,1200",,,"1",,,"1"
"714003","毁灭打击","","true","false","true","0","","","true","1","1","480","0","","0","","","7140030,7140031,7140032,7140033","0,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"714004","蓄力猛击","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7140040,7140041","0,0",,"geffect/sprite/skillbanner/luoshishu","1",,,
"714005","破甲","","true","false","true","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7140060","0",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"714006","猛击","","true","false","true","0","","","true","1","1","480","1000",,"0",,,"7140070,7140071","0,-1",,,"1","1",,
"714007","先祖秩序","","false","false","false","0","","","true","1","10","1","0",,"0",,,"","",,,"",,,
"714008","图腾之力","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7140080","0",,,"",,,
"721001","审判之锤","true","true","true","false","0","1","1","true","1","4","480","0","","10+2*gradea","","","7210010,7210011,7210012,7210013,7210014,7210015,7210016","0,0,0,0,0,0,1000",,,"1","1",,
"721002","无边定罪",,"true","true","false","0","","","true","1","3","480","0","","10+2*gradea","","","7210020,7210021","0,-1",,,"1","1",,
"721003","复仇之盾","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7210030,7210031,7210032,7210033","0,0,0,0",,,"1",,,"1"
"721004","圣光洗礼","","true","false","false","0","","","true","1","5","4127","0",,"10+2*gradea",,,"7210040","0",,,"1",,,
"721005","神谕责难","","true","false","false","0","1","","true","1","7","480","0",,"10+2*gradea",,,"7210050,7210051,7210052,7210053,7210054,7210055","0,0,0,0,0,0",,,"1",,,
"721006","中国功夫","","false","false","false","0","","","true","1","10","1","0","","0","","","7210060","0",,,"",,,
"721007","冲出亚洲","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"722001","审判之锤","true","true","true","false","0","1","1","true","1","4","480","0","","10+2*gradea","","","7220010,7220011,7220012,7220013,7220014,7220015,7220016","0,0,0,0,0,0,1000",,,"1","1",,
"722002","无边定罪",,"true","true","false","0","","","true","1","3","480","0","","10+2*gradea","","","7220020,7220021","0,-1",,,"1","1",,
"722003","复仇之盾","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7220030,7220031,7220032,7220033","0,0,0,0",,,"1",,,"1"
"722004","圣光洗礼","","true","false","false","0","","","true","1","5","4127","0",,"10+2*gradea",,,"7220040","0",,,"1",,,
