"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"1000010","物理攻击",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510108","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000020","远程物理攻击",,,,,"0",,"2",,,,,"1","1","speed","1",,"0","510108","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000030","强制物理攻击",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510108","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000040","混乱物理攻击",,,,,"0",,"5",,,,,"1","1",,"1",,"0","510112","1","1","curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000050","使用物品",,,,,"0",,"0",,,,,"1",,,"1",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000090","大碗番茄浓汤",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000100","大碗翡翠浓汤",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=100000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000110","硬肉干",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000120","煎蛋卷",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=quality*60+2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000130","樱桃饼",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=quality*60+2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000140","凤梨佳酿",,,,,"0",,"1",,,,,"1","1",,"1",,"0","509140","1","0","cursp_value=quality*0.4+10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000150","辣味狼排",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=quality*32+1000",,,,,"500010","1","0","curmp_value=quality*32+1000",,,,,,,,,,,,,,,,,,,,,
"1000160","晨露酒",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510105","1","0","cursp_value=quality",,,,,"501002","1","2","defend_percent=-0.1;magicdef_percent=-0.1",,,,,,,,,,,,,,,,,,,,,
"1000170","凤梨佳酿战斗内",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510105","1","0","cursp_value=quality*0.6+10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000200","恢复合剂",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=400",,,,,"510134","1","0","curhp_value=40",,,"508038",,,,,,,,,,,,,,,,,,
"1000210","治疗药水",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=quality*12+150",,,,,"510134","1","0","curhp_value=quality*1.2+15",,,"508038",,,,,,,,,,,,,,,,,,
"1000220","法力药水",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510135","1","0","curmp_value=quality*5+50",,,,,"510135","1","0","curmp_value=quality*0.5+5",,,"508038",,,,,,,,,,,,,,,,,,
"1000230","净化药剂",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510132","1",,,,,,,"510134","1","0","curhp_value=quality*3",,,,,"510134","1","0","curhp_value=quality*0.3",,,"508038",,,,,,,,,,
"1000240","复苏药剂",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510107","1",,,,,,,"510134","1","0","curhp_value=quality*5+100",,,,,"510134","1","0","curhp_value=quality*0.5+10",,,"508038",,,,,,,,,,
"1000250","重生药剂",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510107","1",,,,,,,"510134","1","0","curhp_value=100",,,,,"510134","1","0","curhp_value=10",,,"508038",,,,,,,,,,
"1000300","活根草",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=200",,,,,"510134","1","0","curhp_value=20",,,"508038",,,,,,,,,,,,,,,,,,
"1000310","野钢花",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=150",,,,,"510134","1","0","curhp_value=15",,,"508038",,,,,,,,,,,,,,,,,,
"1000320","银叶草",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510135","1","0","curmp_value=150",,,,,"510135","1","0","curmp_value=15",,,"508038",,,,,,,,,,,,,,,,,,
