"阶段ID","技能描述（策划）","阶段类型","执行方式","播放延时","动作类型","动作最长时间","移动类型","同步保护","目的x","目的y","残影对象编号","残影对象透明度","移动时间","特效类型","特效位置类型","有痕迹","有方向","特效名","特效图层","音效","结果类型","执行结果最长时间","结果受击复位时间","瞬移类型","瞬移时间","保留","瞬移最长时间","多结果标示"
"10001400","药品使用","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"10001401","药品使用","2","1","300","0","0","0","0","0","0","0","188","0","0","2","0","0",,"0","liumaishenjian","0","0","200","0","0","0","0","1"
"10001402","药品使用","2","0","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/aobao_hit/aobao_hit","0",,"0","0","200","0","0","0","0","1"
"10001403","药品使用","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000100","幻影斩1-施法动作","0","0","0","9","600","0","0","0","0","0","188","0","0","0","0","0",,"0",,,"0",,,,,,"1"
"11000101","幻影斩1-隐身主体","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000102","幻影斩1-移动","1","0","0","0","0","0","1","0","2","1","188","0","0","0","0","0",,"0","","0","0","200","0","0","0","0","1"
"11000103","幻影斩1-攻击动作","0","1","0","8","1100","0","0","0","2","1","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000104","幻影斩1-受击特效上","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_xia_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000105","幻影斩1-受击特效下","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_shang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000106","幻影斩1-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","600","200","0","0","0","0","1"
"11000107","幻影斩1-残影消失","1","0","0","0","0","3","2","0","0","1","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
