"技能等级","需求等级1","需求等级2","需求等级3","需求等级4","需求等级5","消耗银币1","消耗公会贡献1","消耗银币2","消耗公会贡献2","消耗银币3","消耗公会贡献3","消耗银币4","消耗公会贡献4","消耗银币5","消耗公会贡献5","消耗银币6","消耗公会贡献6","消耗银币7","消耗公会贡献7","消耗银币8","消耗公会贡献8","消耗银币9","消耗公会贡献9","消耗银币10","消耗公会贡献10","消耗活力1","消耗活力2","消耗活力3","消耗活力4","消耗活力5","消耗活力6","消耗活力7","消耗活力8","消耗活力9","消耗活力10"
"1","1","1","45",,,"100","0","100","0",,,,,,,,,,,,,,,,,"10","20","100","7",,,,,,
"2","1","2","45",,,"200","0","300","0",,,,,,,,,,,,,,,,,"10","21","100","7",,,,,,
"3","1","3","50",,,"300","0","500","0",,,,,,,,,,,,,,,,,"10","21","100","8",,,,,,
"4","1","4","50",,,"400","0","700","0",,,,,,,,,,,,,,,,,"10","22","100","9",,,,,,
"5","1","5","55",,,"500","0","900","0",,,,,,,,,,,,,,,,,"10","22","100","9",,,,,,
"6","1","6","55",,,"600","0","1100","0",,,,,,,,,,,,,,,,,"10","23","100","10",,,,,,
"7","1","7","60",,,"700","0","1300","0",,,,,,,,,,,,,,,,,"10","23","100","11",,,,,,
"8","1","8","60",,,"800","0","1500","0",,,,,,,,,,,,,,,,,"10","24","100","11",,,,,,
"9","1","9","65",,,"900","0","1700","0",,,,,,,,,,,,,,,,,"10","24","100","12",,,,,,
"10","1","10","65",,,"1000","0","1900","0",,,,,,,,,,,,,,,,,"10","25","100","13",,,,,,
"11","1","11","70",,,"1100","0","2100","0",,,,,,,,,,,,,,,,,"10","25","100","13",,,,,,
"12","2","12","70",,,"1200","0","2300","0",,,,,,,,,,,,,,,,,"10","26","100","14",,,,,,
"13","3","13","75",,,"1300","0","2500","0",,,,,,,,,,,,,,,,,"10","26","100","15",,,,,,
"14","4","14","75",,,"1400","0","2700","0",,,,,,,,,,,,,,,,,"10","27","100","15",,,,,,
"15","5","15","80",,,"1500","0","2900","0",,,,,,,,,,,,,,,,,"10","27","100","16",,,,,,
"16","6","16","80",,,"1600","0","3100","0",,,,,,,,,,,,,,,,,"10","28","100","17",,,,,,
"17","7","17","85",,,"1700","0","3300","0",,,,,,,,,,,,,,,,,"10","28","100","17",,,,,,
"18","8","18","85",,,"1800","0","3500","0",,,,,,,,,,,,,,,,,"10","29","100","18",,,,,,
"19","9","19","90",,,"1900","0","3700","0",,,,,,,,,,,,,,,,,"10","29","100","19",,,,,,
"20","10","20","90",,,"2000","0","3900","0",,,,,,,,,,,,,,,,,"20","30","100","19",,,,,,
"21","11","21","95",,,"2100","0","4100","0",,,,,,,,,,,,,,,,,"20","30","100","20",,,,,,
"22","12","22","95",,,"2200","0","4300","0",,,,,,,,,,,,,,,,,"20","31","100","21",,,,,,
"23","13","23","100",,,"2300","0","4500","0",,,,,,,,,,,,,,,,,"20","31","100","21",,,,,,
"24","14","24","100",,,"2400","0","4700","0",,,,,,,,,,,,,,,,,"20","32","100","22",,,,,,
"25","15","25","110",,,"2500","0","4900","0",,,,,,,,,,,,,,,,,"20","32","100","23",,,,,,
"26","16","26","0",,,"2600","0","5100","0",,,,,,,,,,,,,,,,,"20","33","100","23",,,,,,
"27","17","27","0",,,"2700","0","5300","0",,,,,,,,,,,,,,,,,"20","33","100","24",,,,,,
"28","18","28","0",,,"2800","0","5500","0",,,,,,,,,,,,,,,,,"20","34","100","25",,,,,,
"29","19","29","0",,,"2900","0","5700","0",,,,,,,,,,,,,,,,,"20","34","100","25",,,,,,
"30","20","30","0",,,"3000","0","5900","0",,,,,,,,,,,,,,,,,"30","35","100","26",,,,,,
"31","21","31","0",,,"3100","0","6100","0",,,,,,,,,,,,,,,,,"30","35","100","27",,,,,,
"32","22","32","0",,,"3200","0","6300","0",,,,,,,,,,,,,,,,,"30","36","100","27",,,,,,
"33","23","33","0",,,"3300","0","6500","0",,,,,,,,,,,,,,,,,"30","36","100","28",,,,,,
"34","24","34","0",,,"3400","0","6700","0",,,,,,,,,,,,,,,,,"30","37","100","29",,,,,,
"35","25","35","0",,,"3500","0","6900","0",,,,,,,,,,,,,,,,,"30","37","100","29",,,,,,
"36","26","36","0",,,"3600","0","7100","0",,,,,,,,,,,,,,,,,"30","38","100","30",,,,,,
"37","27","37","0",,,"3700","0","7300","0",,,,,,,,,,,,,,,,,"30","38","100","31",,,,,,
"38","28","38","0",,,"3800","0","7500","0",,,,,,,,,,,,,,,,,"30","39","100","31",,,,,,
"39","29","39","0",,,"3900","0","7700","0",,,,,,,,,,,,,,,,,"30","39","100","32",,,,,,
"40","30","40","0",,,"4000","0","7900","0",,,,,,,,,,,,,,,,,"40","40","100","33",,,,,,
"41","31","41","0",,,"4100","1","8100","1",,,,,,,,,,,,,,,,,"40","40","100","33",,,,,,
"42","32","42","0",,,"4200","2","8300","2",,,,,,,,,,,,,,,,,"40","41","100","34",,,,,,
"43","33","43","0",,,"4300","3","8500","3",,,,,,,,,,,,,,,,,"40","41","100","35",,,,,,
"44","34","44","0",,,"4400","4","8700","4",,,,,,,,,,,,,,,,,"40","42","100","35",,,,,,
"45","35","45","0",,,"4500","5","8900","5",,,,,,,,,,,,,,,,,"40","42","100","36",,,,,,
"46","36","46","0",,,"4600","6","9100","6",,,,,,,,,,,,,,,,,"40","43","100","37",,,,,,
"47","37","47","0",,,"4700","7","9300","7",,,,,,,,,,,,,,,,,"40","43","100","37",,,,,,
"48","38","48","0",,,"4800","8","9500","8",,,,,,,,,,,,,,,,,"40","44","100","38",,,,,,
"49","39","49","0",,,"4900","9","9700","9",,,,,,,,,,,,,,,,,"40","44","100","39",,,,,,
"50","40","50","0",,,"5000","10","9900","10",,,,,,,,,,,,,,,,,"50","45","100","39",,,,,,
"51","41","51","0",,,"5100","11","10100","11",,,,,,,,,,,,,,,,,"50","45","100","40",,,,,,
"52","42","52","0",,,"5200","12","10300","12",,,,,,,,,,,,,,,,,"50","46","100","41",,,,,,
"53","43","53","0",,,"5300","13","10500","13",,,,,,,,,,,,,,,,,"50","46","100","41",,,,,,
"54","44","54","0",,,"5400","14","10700","14",,,,,,,,,,,,,,,,,"50","47","100","42",,,,,,
"55","45","55","0",,,"5500","15","10900","15",,,,,,,,,,,,,,,,,"50","47","100","43",,,,,,
"56","46","56","0",,,"5600","16","11100","16",,,,,,,,,,,,,,,,,"50","48","100","43",,,,,,
"57","47","57","0",,,"5700","17","11300","17",,,,,,,,,,,,,,,,,"50","48","100","44",,,,,,
"58","48","58","0",,,"5800","18","11500","18",,,,,,,,,,,,,,,,,"50","49","100","45",,,,,,
"59","49","59","0",,,"5900","19","11700","19",,,,,,,,,,,,,,,,,"50","49","100","45",,,,,,
"60","50","60","0",,,"6000","20","11900","20",,,,,,,,,,,,,,,,,"60","50","100","46",,,,,,
"61","51","61","0",,,"6100","21","12100","21",,,,,,,,,,,,,,,,,"60","50","100","47",,,,,,
"62","52","62","0",,,"6200","22","12300","22",,,,,,,,,,,,,,,,,"60","51","100","47",,,,,,
"63","53","63","0",,,"6300","23","12500","23",,,,,,,,,,,,,,,,,"60","51","100","48",,,,,,
"64","54","64","0",,,"6400","24","12700","24",,,,,,,,,,,,,,,,,"60","52","100","49",,,,,,
"65","55","65","0",,,"6500","25","12900","25",,,,,,,,,,,,,,,,,"60","52","100","49",,,,,,
"66","56","66","0",,,"6600","26","13100","26",,,,,,,,,,,,,,,,,"60","53","100","50",,,,,,
"67","57","67","0",,,"6700","27","13300","27",,,,,,,,,,,,,,,,,"60","53","100","51",,,,,,
"68","58","68","0",,,"6800","28","13500","28",,,,,,,,,,,,,,,,,"60","54","100","51",,,,,,
"69","59","69","0",,,"6900","29","13700","29",,,,,,,,,,,,,,,,,"60","54","100","52",,,,,,
"70","60","70","0",,,"7000","30","13900","30",,,,,,,,,,,,,,,,,"70","55","100","53",,,,,,
"71","61","71","0",,,"7100","31","14100","31",,,,,,,,,,,,,,,,,"70","55","100","53",,,,,,
"72","62","72","0",,,"7200","32","14300","32",,,,,,,,,,,,,,,,,"70","56","100","54",,,,,,
"73","63","73","0",,,"7300","33","14500","33",,,,,,,,,,,,,,,,,"70","56","100","55",,,,,,
"74","64","74","0",,,"7400","34","14700","34",,,,,,,,,,,,,,,,,"70","57","100","55",,,,,,
"75","65","75","0",,,"7500","35","14900","35",,,,,,,,,,,,,,,,,"70","57","100","56",,,,,,
"76","66","76","0",,,"7600","36","15100","36",,,,,,,,,,,,,,,,,"70","58","100","57",,,,,,
"77","67","77","0",,,"7700","37","15300","37",,,,,,,,,,,,,,,,,"70","58","100","57",,,,,,
"78","68","78","0",,,"7800","38","15500","38",,,,,,,,,,,,,,,,,"70","59","100","58",,,,,,
"79","69","79","0",,,"7900","39","15700","39",,,,,,,,,,,,,,,,,"70","59","100","59",,,,,,
"80","70","80","0",,,"8000","40","15900","40",,,,,,,,,,,,,,,,,"80","60","100","59",,,,,,
"81","71","81","0",,,"8100","41","16100","41",,,,,,,,,,,,,,,,,"80","60","100","60",,,,,,
"82","72","82","0",,,"8200","42","16300","42",,,,,,,,,,,,,,,,,"80","61","100","61",,,,,,
"83","73","83","0",,,"8300","43","16500","43",,,,,,,,,,,,,,,,,"80","61","100","61",,,,,,
"84","74","84","0",,,"8400","44","16700","44",,,,,,,,,,,,,,,,,"80","62","100","62",,,,,,
"85","75","85","0",,,"8500","45","16900","45",,,,,,,,,,,,,,,,,"80","62","100","63",,,,,,
"86","76","86","0",,,"8600","46","17100","46",,,,,,,,,,,,,,,,,"80","63","100","63",,,,,,
"87","77","87","0",,,"8700","47","17300","47",,,,,,,,,,,,,,,,,"80","63","100","64",,,,,,
"88","78","88","0",,,"8800","48","17500","48",,,,,,,,,,,,,,,,,"80","64","100","65",,,,,,
"89","79","89","0",,,"8900","49","17700","49",,,,,,,,,,,,,,,,,"80","64","100","65",,,,,,
"90","80","90","0",,,"9000","50","17900","50",,,,,,,,,,,,,,,,,"90","65","100","66",,,,,,
"91","81","91","0",,,"9100","51","18100","51",,,,,,,,,,,,,,,,,"90","65","100","67",,,,,,
"92","82","92","0",,,"9200","52","18300","52",,,,,,,,,,,,,,,,,"90","66","100","67",,,,,,
"93","83","93","0",,,"9300","53","18500","53",,,,,,,,,,,,,,,,,"90","66","100","68",,,,,,
"94","84","94","0",,,"9400","54","18700","54",,,,,,,,,,,,,,,,,"90","67","100","69",,,,,,
"95","85","95","0",,,"9500","55","18900","55",,,,,,,,,,,,,,,,,"90","67","100","69",,,,,,
"96","86","96","0",,,"9600","56","19100","56",,,,,,,,,,,,,,,,,"90","68","100","70",,,,,,
"97","87","97","0",,,"9700","57","19300","57",,,,,,,,,,,,,,,,,"90","68","100","71",,,,,,
"98","88","98","0",,,"9800","58","19500","58",,,,,,,,,,,,,,,,,"90","69","100","71",,,,,,
"99","89","99","0",,,"9900","59","19700","59",,,,,,,,,,,,,,,,,"90","69","100","72",,,,,,
"100","90","100","0",,,"10000","60","19900","60",,,,,,,,,,,,,,,,,"100","70","100","73",,,,,,
"101","91","101","0",,,"10100","61","20100","61",,,,,,,,,,,,,,,,,"100","70","100","73",,,,,,
"102","92","102","0",,,"10200","62","20300","62",,,,,,,,,,,,,,,,,"100","71","100","74",,,,,,
"103","93","103","0",,,"10300","63","20500","63",,,,,,,,,,,,,,,,,"100","71","100","75",,,,,,
"104","94","104","0",,,"10400","64","20700","64",,,,,,,,,,,,,,,,,"100","72","100","75",,,,,,
"105","95","105","0",,,"10500","65","20900","65",,,,,,,,,,,,,,,,,"100","72","100","76",,,,,,
"106","96","106","0",,,"10600","66","21100","66",,,,,,,,,,,,,,,,,"100","73","100","77",,,,,,
"107","97","107","0",,,"10700","67","21300","67",,,,,,,,,,,,,,,,,"100","73","100","77",,,,,,
"108","98","108","0",,,"10800","68","21500","68",,,,,,,,,,,,,,,,,"100","74","100","78",,,,,,
"109","99","109","0",,,"10900","69","21700","69",,,,,,,,,,,,,,,,,"100","74","100","79",,,,,,
"110","100","110","0",,,"11000","70","21900","70",,,,,,,,,,,,,,,,,"110","75","100","79",,,,,,
"111","101","111","0",,,"11100","71","22100","71",,,,,,,,,,,,,,,,,"110","75","100","80",,,,,,
"112","102","112","0",,,"11200","72","22300","72",,,,,,,,,,,,,,,,,"110","76","100","81",,,,,,
