"Buff编号","Buff名称","服务器提供客户端标示","classname","buff类型","针对类型","效果"
"510101","无浮动加血","1","fire.pb.buff.single.ItemCure","53",,
"510102","无浮动减血","1","fire.pb.buff.single.FixedInjure","51",,
"510103","无浮动加蓝","4","fire.pb.buff.single.ItemCure","53",,
"510104","无浮动减蓝","4","fire.pb.buff.single.FixedInjure","51",,
"510105","加怒气","5","fire.pb.buff.single.Cure","53",,
"510106","减怒气","5","fire.pb.buff.single.FixedInjure","51",,
"510107","复活","3","fire.pb.buff.single.Relive","54",,
"510108","物理普攻","1","fire.pb.buff.single.NormalPhyInjure","51",,
"510109","物理反击","1","fire.pb.buff.single.AttackBackPhyInjure","51",,
"510110","物理连击","1","fire.pb.buff.single.ComboPhyInjure","51",,
"510111","物理追击","1","fire.pb.buff.single.ExtraPhyInjure","51",,
"510112","混乱物攻","1","fire.pb.buff.single.SkillPhyInjure","51",,
"510113","物理技能","1","fire.pb.buff.single.SkillPhyInjure","51",,
"510114","法术技能","2","fire.pb.buff.single.MagicInjure","51",,
"510115","法术连击","2","fire.pb.buff.single.MagicInjure","51",,
"510116","治疗技能","3","fire.pb.buff.single.Cure","53",,
"510117","火元素法术技能","2","fire.pb.buff.single.FireInjure","55",,
"510118","水元素法术技能","2","fire.pb.buff.single.WaterInjure","55",,
"510119","土元素法术技能","2","fire.pb.buff.single.EarthInjure","55",,
"510120","雷元素法术技能","2","fire.pb.buff.single.ThunderInjure","55",,
"510121","预留元素法术攻击","2","fire.pb.buff.single.OtherInjure","55",,
"510122","使用道具","0",,"0",,
"510123","召唤","0",,"0",,
"510124","捕捉","0",,"0",,
"510125","防御","0",,"0",,
"510126","保护","0",,"0",,
"510127","逃跑","0",,"0",,
"510128","驱散除控制外一切异常buff","3","fire.pb.buff.single.CleanBuff","61","11;12",
"510129","清除蓄力buff","3","fire.pb.buff.single.CleanBuff","61","501003",
"510130","清除狩猎状态buff","3","fire.pb.buff.single.CleanBuff","61","503001",
"510131","清除毒buff","3","fire.pb.buff.single.CleanBuff","61","509080",
"510132","驱散一切异常buff（特技使用）","3","fire.pb.buff.single.CleanBuff","61","1",
"510133","驱散一切增益buff","3","fire.pb.buff.single.CleanBuff","61","2",
"510134","无浮动加血又加蓝","1","fire.pb.buff.single.ItemCure","53",,
"510135","无浮动减血又减蓝","4","fire.pb.buff.single.FixedInjure","51",,
"510136","清除神佑buff（怪物AI使用）","3","fire.pb.buff.single.CleanBuff","61","509051",
"510137","加减连击点","7","fire.pb.buff.single.EPFixedInjure","53",,
"510138","单位消失","0","fire.pb.buff.single.SummonBack","53",,
"510139","召唤单位","0","fire.pb.buff.single.SingleBuff","53",,
"510201","鬼魂复活","0","fire.pb.buff.single.GhostRelive","54",,
