"id","职业组","AI组","AI编号","连击点数参数","技能等级","技能ID","描述","是否默认勾选"
"1","11","1","12011",,"0","110002","自动对boss使用嘲讽","1"
"2","11","2","12012",,"30","110005","自动对boss使用破甲","0"
"3","11","3","12013",,"10","110003","自动对boss使用毁灭打击","1"
"4","12","4","12021",,"10","120003","自动对boss使用复仇之盾","1"
"5","12","5","12022",,"30","120005","自动对敌方隐身单位使用神谕责难","1"
"6","12","6","12023",,"20","120004","自动使用圣光洗礼","0"
"7","12","7","12024",,"0","120002","自动对boss使用无边定罪","1"
"8","13","8","12031",,"10","130003","首回合自动使用野性召唤","0"
"9","13","9","12032",,"30","130005","自动对boss使用精准打击","0"
"10","13","10","12033",,"20","130004","魔法值低于10%时自动使用生命献祭","0"
"11","14","11","12041",,"30","140005","敌方有隐身单位时自动使用自然之眼","1"
"12","14","12","12042",,"0","140002","首回合自动使用绿之潮","0"
"13","14","13","12043",,"10","140003","自动使用黄昏花蕾","0"
"14","15","14","12051",,"10","150003","自动对精英怪使用变形术","1"
"15","15","15","12052",,"30","150005","自动释放冰霜血脉","0"
"16","16","16","12061",,"20","160004","首回合自动使用心灵之火","1"
"17","16","17","12062",,"10","160003","自动复活死亡单位","1"
"18","16","18","12063",,"0","160002","自动使用治疗祷言","0"
"19","16","19","12064",,"30","160005","自动使用神圣救赎","0"
"20","17","20","12071",,"20","161004","自动使用先祖之魂","1"
"21","18","21","12081",,"30","162005","自动对精英怪使用闷棍","0"
"22","18","22","12101","0","10","162003","$parameter1$个连击点以上对boss使用剔骨","0"
"23","18","22","12002","1","10","162003","$parameter1$个连击点以上对boss使用剔骨","0"
"24","18","22","12003","2","10","162003","$parameter1$个连击点以上对boss使用剔骨","0"
"25","18","22","12004","3","10","162003","$parameter1$个连击点以上对boss使用剔骨","1"
"26","18","22","12005","4","10","162003","$parameter1$个连击点以上对boss使用剔骨","0"
"27","18","22","12006","5","10","162003","$parameter1$个连击点以上对boss使用剔骨","0"
"28","18","23","12083","","0","162002","自动对boss使用穿刺影袭","1"
"29","18","24","12111","0","10","162003","$parameter1$个连击点以上自动使用剔骨","0"
"30","18","24","12112","1","10","162003","$parameter1$个连击点以上自动使用剔骨","0"
"31","18","24","12113","2","10","162003","$parameter1$个连击点以上自动使用剔骨","0"
"32","18","24","12114","3","10","162003","$parameter1$个连击点以上自动使用剔骨","1"
"33","18","24","12115","4","10","162003","$parameter1$个连击点以上自动使用剔骨","0"
"34","18","24","12116","5","10","162003","$parameter1$个连击点以上自动使用剔骨","0"
"35","19","25","12091",,"0","163002","自动对精英怪使用沉默诅咒","1"
"36","19","26","12092",,"30","163005","首回合自动使用虚弱诅咒","1"
"37","19","27","12093",,"10","163003","自动使用生命虹吸","0"
