"ID号","显示内容","目标","类型","等级下限","等级上限","人数下限","人数上限","附加","进入条件","开放时间","次数"
"1","剧情任务","10级剧情","1","10","150","1","5","0","无限制","全天",
"2","剧情任务","20级剧情","1","20","150","1","5","0","无限制","全天",
"3","剧情任务","30级剧情","1","30","150","1","5","0","无限制","全天",
"4","剧情任务","40级剧情","1","40","150","1","5","0","无限制","全天",
"5","日常副本","日常副本","3","20","150","1","5","0","无限制","全天",
"6","精英副本","废矿(30级)","4","30","150","1","5","0","无限制","全天",
"7","精英副本","银堡(40级)","4","40","150","1","5","0","无限制","全天",
"8","精英副本","荒泽(50级)","4","50","150","1","5","0","无限制","全天",
"9","精英副本","教堂(60级)","4","60","150","1","5","0","无限制","全天",
"10","精英副本","买股圣地(70级)","4","70","150","1","5","0","无限制","全天",
"11","精英副本","遗迹(80级)","4","80","150","1","5","0","无限制","全天",
"12","精英副本","祭坛(90级)","4","90","150","1","5","0","无限制","全天",
"13","精英副本","深渊(100级)","4","100","150","1","5","0","无限制","全天",
"14","精英副本","雾都(110级)","4","110","150","1","5","0","无限制","全天",
"15","精英副本","邪兽堡垒","4","120","150","1","5","0","无限制","全天",
"16","精英副本","邪兽堡垒","4","130","150","1","5","0","无限制","全天",
"17","精英副本","英雄平台","4","140","150","1","5","0","无限制","全天",
"18","定时活动","巨龙护卫","5","35","49","1","5","0","至少3人组队","整点10、30、50分投放",""
"19","定时活动","巨龙军团★","5","50","150","1","5","0","至少3人组队","整点投放",""
"20","定时活动","巨龙之怒★★","5","50","150","1","5","0","至少3人组队","整点投放",""
"21",,,,,,,,,"","",""
"22","定时活动","3V3竞技场","5","45","150","1","3","0","1-3人组队","每周一、三、五、七       晚上21:30-22:30",""
"23","定时活动","5V5竞技场","5","50","150","1","5","0","1-5人组队","暂未开放",""
"24","公会活动","熔火之心","6","30","150","1","5","0","40级组队3-5人","每周二、四、六           晚上21:30-22:30",""
"25","公会活动","纳克萨玛斯","6","40","150","1","5","0","40级组队3-5人","每周二、四、六           晚上21:30-22:30",""
"26","定时活动","冠军试炼","5","40","150","3","5","0","至少3人组队","每周一、三、五           晚上20:30-21:10",""
"27","封印古神","欧格瑞姆(25级)","7","25","150","1","5","0","无限制","全天",
"28","封印古神","斯托姆城(40级)","7","35","150","1","5","0","无限制","全天",""
"29","封印古神","影月城(50级)","7","45","150","1","5","0","无限制","全天",""
"30","封印古神","月光海岸(60级)","7","55","150","1","5","0","无限制","全天",""
"31","封印古神","虚空要塞(70级)","7","65","150","1","5","0","无限制","全天",""
"32","封印古神","暮光林(80级)","7","75","150","1","5","0","无限制","全天",""
"33","封印古神","银松林(90级)","7","85","150","1","5","0","无限制","全天",""
"34","封印古神","古神","7","25","150","3","5","0","无限制","全天",""
"35","剧情任务","50级剧情","1","50","150","1","5","0","无限制","全天",
"36","剧情任务","60级剧情","1","60","150","1","5","0","无限制","全天",
"37","剧情任务","70级剧情","1","70","150","1","5","0","无限制","全天",
"38","剧情任务","80级剧情","1","80","150","1","5","0","无限制","全天",
"39","剧情任务","90级剧情","1","90","150","1","5","0","无限制","全天",
"40","剧情任务","100级剧情","1","100","150","1","5","0","无限制","全天",
,,,"",,,,,,,,
,,,"",,,,,,,,
,,"","",,,,,,,,
,,,"",,,,,,,,
,,,"",,,,,,,,
,,,"",,,,,,,,
,,,"",,,,,,,,
,,,"",,,,,,,,
,,,"",,,,,,,,
